"# of Use","# de uso"
"%1$s incl tax.","%1$s con impuestos incluidos."
"%s - %s","%s - %s"
"%s Item(s)","%s artículo(s)"
"%s and above","%s y superior"
"Products per Page on List Allowed Values","Productos por Página en Valores Permitidos por la Lista"
"Products per Page on List Default Value","Productos por Página en Valor Predeterminado de la Lista"
"Properties","Propiedades"
"Qty","Cantidad"
"Qty Increments","Incrementos de cantidad"
"Qty Uses Decimals","La Cantidad Usa Decimales"
"Qty for Item\'s Status to Become Out of Stock","La cant. para el estado del artículo se va a quedar sin unidades disponibles"
"Qty:","Cantidad:"
"Quantity","Cantidad"
"Quick Create","Creación Rápida"
"Quick Overview","Descripción rápida"
"Quick simple product creation","Creación rápida de producto sencillo"
"Records for ""","Registro para """
"Redirect","Redirigir"
"Redirect URL","Redirigir URL"
"Regular Price:","Precio Habitual:"
"Related Products","Productos Relacionados"
"Remove","Borrar"
"Remove Product From Websites","Eliminar el Producto de los sitios de Internet"
"Remove This Item","Eliminar este artículo"
"Remove attribute from attribute set","Eliminar atributo de conjunto de atributos"
"Remove attribute set","Eliminar conjunto de atributos"
"Remove custom option","Eliminar opción personalizada"
"Remove group from attribute set","Eliminar grupo de conjunto de atributos"
"Remove option","Eliminar opción"
"Remove product assignment","Eliminar la asignación de producto"
"Remove product image","Eliminar imagen del producto"
"Remove product link","Eliminar el enlace del producto"
"Remove value from custom option","Eliminar valor de las opciones de personalización"
"Rename existing group","Renombrar un grupo existente"
"Rename group","Renombrar un grupo"
"Reorganize EAV category structure to flat structure","Reorganizar la esctructura de categoría EAV a una estructura plana"
"Reorganize EAV product structure to flat structure","Reorganizar la esctructura de producto EAV a una estructura plana"
"Reset","Reiniciar"
"Results","Resultados"
"Retrieve attribute data","Recuperar datos de atributo"
"Retrieve attribute list","Recuperar la lista de atributo"
"Retrieve attribute options","Recuperar las opciones de atributo"
"Retrieve categories tree","Recuperar árbol de categorías"
"Retrieve category attributes","Recuperar los atributos de categorías"
"Retrieve category data","Recuperar los datos de categorías"
"Retrieve hierarchical tree","Recuperar el árbol jerárquico"
"Retrieve linked products","Recuperar los productos enlazados"
"Retrieve list of assigned products","Recuperar la lista de productos asignados"
"Retrieve list of option values","Recuperar lista de valores de opción"
"Retrieve list of product custom options","Recuperar lista de opciones de personalización del producto"
"Retrieve one level of categories by website/store view/parent category","Recuperar un nivel de categorías por sitio de Internet/vista de tienda/categoría matriz"
"Retrieve option value info","Recuperar información sobre el valor de opción"
"Retrieve product","Recuperar producto"
"Retrieve product attribute sets","Recuperar conjuntos de atributos de producto"
"Retrieve product image","Recuperar imagen del producto"
"Retrieve product image list","Recuperar lista de imágenes de producto"
"Retrieve product image types","Recuperar tipos de imágenes de producto"
"Retrieve product link type attributes","Recuperar atributos de tipo de enlace de producto"
"Retrieve product link types","Recuperar tipos de enlace de producto"
"Retrieve product tier prices","Recuperar precios de nivel de producto"
"Retrieve product types","Recuperar tipos de producto"
"Retrieve products data","Recuperar datos de productos"
"Retrieve products list by filters","Recuperar lista de productos por medio de filtros"
"Reviews","Reseñas"
"Roll Over for preview","Desplegar para visualización previa"
"Root","Raíz"
"SKU","SKU (Número de Referencia)"
"SKU length should be %s characters maximum.","La longitud de SKU debe ser de un máximo de % carácteres."
"Save","guardar"
"Save Attribute","Guardar Atributo"
"Save Attribute Set","Grabar conjunto de atributos"
"Save Category","Guardar Categoría"
"Save Search","Guardar Búsqueda"
"Save and Continue Edit","Guardar y continuar editando"
"Saved %d record(s)","Registro(s) %d Guardado(s)"
"Scope","Alcance"
"Scope must not be changed, because the attribute is used in configurable products.","No se puede cambiar el ámbito de aplicación, dado que el atributo se utiliza en productos configurables."
"Search","Buscar"
"Search Engine Optimizations","Optimizaciones de motor de búsqueda"
"Search Information","Información de búsqueda"
"Search Query","Consulta de búsqueda"
"Search Term with such search query already exists.","Ya existe un término de búsqueda con esa consulta."
"Search Weight","Buscar peso"
"Searchable","Puede buscarse"
"See price before order confirmation.","Ver precio antes de la confirmación del pedido."
"Select Category...","Seleccionar categoría..."
"Select Configurable Attributes ","Seleccionar atributos configurables"
"Select Product...","Seleccionar producto..."
"Select type of option","Seleccionar tipo de opción"
"Select type options required values rows.","Determinados tipos de opciones requieren filas de valores."
"Selected Product Types","Tipos de productos seleccionados"
"Selected configuration is not available.","La configuración seleccionada no está disponible."
"Send Count","Cantidad de envíos"
"Set Ascending Direction","En sentido ascendente"
"Set Descending Direction","Establecer dirección descendente"
"Set Name","Establecer nombre"
"Set Root Category for Store","Establecer categoría raíz para la tienda"
"Set root category for this store in the <a href=""%s"">configuration</a>","Programar una categoría raíz de esta tienda en la <a href=""%s"">configuración</a>"
"Set special price","Establecer precio especial"
"Set/Get current store view","Establecer/Obtener la vista actual de la tienda"
"Settings","Configuración"
"Shop By","Comprar por"
"Shopping Options","Opciones de compra"
"Show","Mostrar"
"Show Details","Mostrar detalles"
"Show Tags","Mostrar etiquetas"
"Simple Product","Producto simple"
"Site Map","Mapa de sitio"
"Sitemap","Mapa del sitio"
"Skip import row, is not valid value ""%s"" for field ""%s""","Saltarse importar fila, no es un valor válido ""%s"" para el campo ""%s"""
"Skip import row, required field ""%s"" for the new customer is not defined.","Omitir la fila de importación, el campo obligatorio ""%s"" para el nuevo cliente no está definido."
"Skip import row, the value ""%s"" is invalid for field ""%s""","Saltarse importar la fila, el valor ""%s"" no es válido para el campo ""%s"""
"Skipping import row, required field ""%s"" for new products is not defined.","Saltando una fila importante, el campo obligatorio ""%s"" para nuevos productos no está definido."
"Skipping import row, required field ""%s"" is not defined.","Omitir la fila de importación, el campo obligatorio ""%s"" no está definido."
"Skipping import row, store ""%s"" field does not exist.","Saltándose la importación de fila, el campo de reserva ""%s"" no existe."
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.","Omitir la fila de importación, el valor ""%s"" no es válido para el campo ""%s""."
"Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.","Algunos de los productos procesados no tienen un valor SKU definido. Por favor, rellénalo antes de operar con esos productos."
"Some of the products below do not have all the required options. Please edit them and configure all the required options.","Algunos de los productos a continuación no tienen todas las opciones necesarias. Por favor, edítalos y configura todas las opciones necesarias."
"Sort By","Ordenar por"
"Sort Order","Orden de selección"
"Source Model","Modelo de origen"
"Special Expires On: %s","Especial Expira en: %s"
"Special Price:","Precio especial:"
"Special Price: %s","Precio especial: %"
"Starting at:","Inicio:"
"Static","Estático"
"Static block and products","Bloque y productos estáticos"
"Static block only","Solo bloque estático"
"Status","Estado"
"Stock Availability","Disponibilidad de inventario"
"Store","Tienda"
"Store View","Ver Tienda"
"Stretch","Flexibilidad"
"Subscribe to RSS Feed","Suscribirse a las noticias por RSS"
"Super product attributes configuration","Configuración de atributos de producto superior"
"Synonym For","Sinónimo para"
"System Properties","Propiedades del sistema"
"Tag Name","Nombre de la etiqueta"
"Tax","Impuestos"
"Template","Plantilla"
"Text","Texto"
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module","El módulo de Catálogo de Planos tiene un límite de %2\$d atributos filtrables y ordenables. Actualmente hay %1\$d de ellos. Por favor, reduce el número de atributos filtrables/ordenables para poder usar este módulo"
"The attribute model is not defined","El modelo de atributo no está definido"
"The attribute set has been saved.","Se ha guardado el conjunto de atributos."
"The base directory to upload file is not specified.","El directorio base para cargar el archivo no ha sido especificado."
"The category has been deleted.","Se eliminó la categoría."
"The category has been saved.","Se ha guardado la categoría."
"The comparison list was cleared.","Se borró la lista de comparación."
"The file '%s' for '%s' has an invalid extension","El archivo '%s' para '%s' tiene una extensión no válida"
"The file '%s' you uploaded is larger than %s Megabytes allowed by server","El archivo '%s' subido es mayor que los '%s' Megabytes permitidos por el servidor"
"The file you uploaded is larger than %s Megabytes allowed by server","El archivo que has subido es más grande de % Megabytes admitidos por el servidor."
"The filters must be an array.","Los filtros deben ser una disposición."
"The image contents is not valid base64 data.","El contenido de la imagen no es un dato base64 válido."
"The image is not specified.","No se especificó la imagen."
"The model collection resource name is not defined.","El nombre del recurso de la colección de modelos no está definido."
"The product %s has been added to comparison list.","Se agregó el producto %s a la lista de comparación."
"The product %s has been removed from comparison list.","Se eliminó el producto %s de la lista de comparación."
"The product attribute has been deleted.","Se eliminó el atributo de producto."
"The product attribute has been saved.","Se guardó el atributo de producto."
"The product has been created.","Se creó el producto."
"The product has been deleted.","Se eliminó el producto."
"The product has been duplicated.","Se duplicó el producto."
"The product has been saved.","Se ha guardado el producto."
"The product has required options","El producto tiene opciones obligatorias"
"The review has been deleted","Se eliminó la reseña"
"The review has been saved.","Se guardó la reseña."
"The review was removed by another user or does not exist.","La reseña no existe o fue eliminada por otro usuario."
"The search was deleted.","Se eliminó la búsqueda."
"The text is too long","El texto es demasiado largo."
"There are no %s available.","No hay %s disponibles."
"There are no customers for this alert","No hay clientes para esta alerta"
"There are no customers for this alert.","No hay clientes para esta alerta."
"There are no products matching the selection.","No hay ningún producto que se ajuste a su selección."
"There was an error while request processing.","Ocurrió un error al procesar la petición."
"This Attribute no longer exists","El atributo ya no existe"
"This attribute cannot be deleted.","No puede eliminarse este atributo."
"This attribute cannot be edited.","No se puede editar este atributo."
"This attribute cannot be updated.","No puede actualizarse este atributo."
"This attribute is used in configurable products.","Este atributo se utiliza en productos configurables."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Este atributo se utiliza en productos configurables. No es posible eliminarlo del conjunto de atributos."
"This attribute no longer exists","Este atributo ya no existe."
"This attribute set no longer exists.","Este conjunto de atributos ya no existe."
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Este grupo contiene atributos utilizados en productos configurables. Páselos a otro grupo y vuelva a intentarlo."
"This group contains system attributes. Please move system attributes to another group and try again.","Este grupo contiene atributos del sistema. Pase los atributos del sistema a otro grupo y vuelva a intentarlo."
"This is a required option","Esta es una opción obligatoria"
"This product no longer exists.","Este producto ya no existe."
"This search no longer exists.","Esta búsqueda ya no existe."
"This setting will be applied when all prices in the specific price interval are equal.","Esta configuración se aplicará cuando todos los precios en el intervalo de precios específicos sean iguales."
"Tier Pricing","Precio de nivel"
"Tile","Mosaico"
"Time Format","Formato de hora"
"Title","Título"
"To reindex the enabled product(s), the store or product must be specified","Para reindexar el producto(s) activado(s), se ha de especificar la tienda o el producto"
"To see product price, add this item to your cart. You can always remove it later.","Para ver el precio del producto añade este artículo al carrito. Siempre puedes eliminarlo posteriormente."
"Top/Left","Superior/izquierda"
"Top/Right","Arriba/Derecha"
"Total Qty Base Items","Cant. total de artículos básicos"
"Total incl. Tax: %1$s","Total con impuestos inculido: %1$"
"Total of %d record(s) have been deleted.","Total de % registrado se ha eliminado."
"Total of %d record(s) have been updated.","Se actualizó un total de %d registro(s)."
"Total of %d record(s) were updated","Se han actualizado un total de %d registro(s)"
"Type","Tipo"
"URL Rewrite Management","Gestión de reescritura de URL"
"Unable to complete this request.","No se puede completar esta solicitud."
"Unable to find a search term to delete.","No se puede encontrar un término de búsqueda para eliminar."
"Unable to find an attribute to delete.","No se puede encontrar un atributo para eliminar."
"Unable to get the product ID.","No ha sido posible obtener el ID de producto."
"Unassigned Attributes","Atributos sin asignar"
"Unknown EAV indexer type ""%s"".","Tipo de indexador EAV desconocido ""%s""."
"Unknown attribute: %s.","Atributo desconocido: %s."
"Unsupported product type ""%s"".","Tipo de producto no compatible ""%s""."
"Up-sells","Ventas Sugestivas"
"Update","Actualización"
"Update Attributes","Actualizar atributos"
"Update Tier Price","Actualizar precio de capa"
"Update assigned product","Actualizar producto asignado"
"Update attribute","Actualizar atributo"
"Update attributes","Actualizar atributos"
"Update category","Actualizar categoría"
"Update custom option of product","Actualizar opción personalizada de producto"
"Update product","Actualizar producto"
"Update product image","Actualizar imagen de producto"
"Update product link","Actualizar enlace del producto"
"Update product tier prices","Actualizar precios de capa de productos"
"Update value of custom option","Actualizar valor de la opción personalizada"
"Upload new product image ","Cargar nueva imagen de producto"
"Use Canonical Link Meta Tag For Categories","Utilizar metaetiqueta de enlace canónico para categorías"
"Use Canonical Link Meta Tag For Products","Utilizar meta-etiqueta de enlace canónico para los productos"
"Use Categories Path for Product URLs","Utilizar ruta de categorías para direcciones URL de productos"
"Use Config Settings","Usar Opciones de Configuración"
"Use Default Value","Usar Valor por Defecto"
"Use Flat Catalog Category","Utilizar categoría de catálogo plano"
"Use Flat Catalog Product","Utilizar producto de catálogo plano"
"Use In Layered Navigation","Utilizar en navegación en capas"
"Use In Search Results Layered Navigation","Utilizar en la navegación por capas de los resultados de búsqueda"
"Use JavaScript Calendar","Utilizar calendario de JavaScript"
"Use Static URLs for Media Content in WYSIWYG for Catalog","Utilizar URL estáticas para contenido multimedia en WYSIWYG para el catálogo"
"Use To Create Configurable Product","Utilizar para crear producto configurable"
"Use Tree Like Category Sitemap","Utilizar mapa de sitio con categorías jerárquicas"
"Use config","Usar configuración"
"Use default","Uso por defecto"
"Use for Promo Rule Conditions","Utilizar para condiciones de reglas de promoción"
"Use four-digit year format.","Utilizar formato de año de cuatro dígitos."
"Use in Advanced Search","Utilizar en búsqueda avanzada"
"Use in Layered Navigation","Usar en navegación por capas"
"Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Utilizar en navegación en capas<br/>(Puede utilizarse sólo con el tipo de entrada de catálogo 'Lista desplegable')"
"Use in Quick Search","Utilizar en búsqueda rápida"
"Used for Sorting in Product Listing","Se utiliza para ordenar las listas de productos"
"Used in Product Listing","Se utiliza en las listas de productos"
"Value for ""%s"" is invalid.","El valor para ""%s"" es inválido."
"Value for ""%s"" is invalid: %s","Valor para ""%"" no es válido: %"
"Varchar","Varchar"
"View as","Ver como"
"Virtual Product","Producto virtual"
"Visibility","Visibilidad"
"Visible","Visible"
"Visible on Catalog Pages on Front-end","Visible en páginas de catálogo en la vista del cliente"
"Visible on Product View Page on Front-end","Visible en páginas de vista de productos en la vista del cliente"
"WYSIWYG Editor","Editor WYSIWYG"
"Watermark","Marca de agua"
"Watermark Default Size","Tamaño predeterminado de la marca de agua"
"Watermark Opacity, Percent","Opacidad de la marca de agua, porcentaje"
"Watermark Position","Posición de la marca de agua"
"Website","Sitio web"
"Website Item Must be checked","Debe controlarse el artículo del sitio web"
"Website Store Must be checked","Se tiene que comprobar la tienda de la página web"
"Websites","Páginas web"
"What's this?","¿Qué es esto?"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Preguntar si mostrar ""Todas"" las opciones en el desplegable ""Mostrar X por página""."
"Will make search for the query above return results for this search.","Realizar la búsqueda para la consulta anterior devuelve resultados para esta búsqueda."
"Wrong BuyRequest instance in options group.","Instancia incorrecta de BuyRequest en el grupo de opciones."
"Wrong configuration item instance in options group.","Configuración de ejemplo de artículo incorrecta en el grupo de opciones."
"Wrong configuration item option instance in options group.","Configuración de ejemplo de opción de artículo incorrecta en el grupo de opciones."
"Wrong option instance type in options group.","Instancia de opción incorrecta en el grupo de opciones."
"Wrong option type to get group instance.","Tipo de opción incorrecto en el grupo de opciones."
"Wrong product instance type in options group.","Tipo de instancia de producto no válido en el grupo de opciones."
"Wrong product type filter specified","Se especificó un filtro de tipo de producto incorrecto"
"Wrong product type to extract configurable options.","Tipo de producto incorrecto para extraer opciones configurables."
"Year Range","Rango de años"
"Yes","Sí"
"You cannot remove system attribute from this set.","No es posible eliminar atributos del sistema de este conjunto."
"You have no items to compare.","No tiene artículos para comparar."
"You may also be interested in the following product(s)","Te podría(n) interesar también el/los siguiente(s) producto(s)"
"Zoom In","Aumentar"
"Zoom Out","Alejar"
"and","y"
"and above","y por encima"
"categories","categorías"
"each","cada"
"ex. http://domain.com","por ejemplo, http:/dominio.com"
"leave blank if its not an image","dejar en blanco si no es una imagen"
"per page","por página"
"products","productos"
"px.","px."
"save","guardar"
"select all","seleccionar todo"
"unselect all","Deseleccionar todo"
"x","x"
