"# of Use","Anzahl der Verwendungen"
"%1$s incl tax.","%1$s inkl. Steuern"
"%s - %s","%s - %s"
"%s Item(s)","%s Artikel"
"%s and above","%s und darüber"
"Price is not available","Preis ist nicht verfügbar"
"Price values for options should be specified in system base currency.","Preisangaben für Optionen sollten in der im Shop eingestellten Basiswährung eingegeben werden."
"Price:","Preis:"
"Price: %s","Preis: %s"
"Print This Page","Diese Seite drucken"
"Product","Produkt"
"Product API","Produkt-API"
"Product Alerts","Produktmeldungen"
"Product Attribute","Produktattribut"
"Product Attributes","Produkt Attribute"
"Product Categories","Produktkategorien"
"Product Extra Info","Zusatzinfo Produkt"
"Product Flat Data","Produkt Flat Daten"
"Product ID","ProduktId"
"Product Image Placeholders","Produktbild Platzhalter"
"Product Image Watermarks","Produktbild Wasserzeichen"
"Product Images","Produktbilder"
"Product Images API","Produktbilder-API"
"Product In Websites","Produkt auf Webseiten"
"Product Info Column","Produktinformationsspalte"
"Product Information","Produktinformation"
"Product Link Block Template","Produkt-Link Block Vorlage"
"Product Link Inline Template","Produkt-Link Inline Vorlage"
"Product Listing Sort by","Verfügbare Produktauflistung sortiert nach"
"Product Name","Produktbezeichnung"
"Product Prices","Produktpreise"
"Product Reviews","Produktreviews"
"Product Tags","Produkttags"
"Product Tier Price API","Produktstaffelpreis API"
"Product Type","Produkttyp"
"Product URL Suffix","URL-Suffix des Produkts"
"Product View Extra Hint","Produktansicht extra Hint"
"Product attribute sets API","Produkt-Attributset API"
"Product attributes API","Produktmerkmale API"
"Product collection expected.","Produktsammlung erwartet."
"Product is not loaded","Produkt wurde nicht geladen"
"Product links API (related, cross sells, up sells)","Produktlink-API (Ähnliches, Cross-Selling, Up-Selling)"
"Product name","Produktbezeichnung"
"Product types API","API Produkttypen"
"Product with this combination of attributes already associated to configurable.","Produktkombination mit diesen Attributen existiert bereits im konfigurierbaren Produkt."
"Products","Produkte"
"Products Comparison List","Produkt Vergleichsliste"
"Products Information","Produktinformationen"
"Products Reviews","Artikelbewertungen"
"Products Sitemap","Sitemap Produkte"
"Products only","Nur Produkte"
"Products per Page on Grid Allowed Values","Produkte pro Seite (erlaubte Werte für Gitter)"
"Products per Page on Grid Default Value","Produkte pro Seite (Standardwert für Gitter)"
"Products per Page on List Allowed Values","Produkte pro Seite (erlaubte Werte für Liste)"
"Products per Page on List Default Value","Produkte pro Seite (Standardwert für Liste)"
"Properties","Eigenschaften"
"Qty","Anzahl"
"Qty Increments","Menge Zuwachsrate"
"Qty Uses Decimals","Stückzahl kann dezimal sein"
"Qty for Item\'s Status to Become Out of Stock","Menge, bei der der Produktstatus zu ""Nicht vorrätig"" wechselt"
"Qty:","Anzahl:"
"Quantity","Menge"
"Quick Create","Schnellanlegen"
"Quick Overview","Schnellübersicht"
"Quick simple product creation","Schnelle und einfache Produkterstellung"
"Records for ""","Einträge für """
"Redirect","Umleiten"
"Redirect URL","Weiterleitungs-URL"
"Regular Price:","Regulärer Preis:"
"Related Products","Zubehör"
"Remove","Löschen"
"Remove Product From Websites","Produkt von Websites entfernen"
"Remove This Item","Diesen Gegenstand entfernen"
"Remove attribute from attribute set","Attribut aus dem Attributsatz entfernen"
"Remove attribute set","Attributsatz entfernen"
"Remove custom option","Benutzerdefinierte Option entfernen"
"Remove group from attribute set","Gruppe aus dem Attributsatz entfernen"
"Remove option","Option löschen"
"Remove product assignment","Produktzuweisungen entfernen"
"Remove product image","Produktbild entfernen"
"Remove product link","Produktlink entfernen"
"Remove value from custom option","Wert aus benutzerdefinierter Option löschen"
"Rename existing group","Existierende Gruppe umbenennen"
"Rename group","Gruppe umbenennen"
"Reorganize EAV category structure to flat structure","EAV Kategorie-Struktur in Flat-Struktur umwandeln"
"Reorganize EAV product structure to flat structure","EAV Produkt-Struktur in Flat-Struktur umwandeln"
"Reset","Zurücksetzen"
"Results","Ergebnisse"
"Retrieve attribute data","Merkmalsdaten abfragen"
"Retrieve attribute list","Attributliste abrufen"
"Retrieve attribute options","Optionen für Attribute abrufen"
"Retrieve categories tree","Kategorien abfragen"
"Retrieve category attributes","Kategorieattribute abrufen"
"Retrieve category data","Kategoriedaten abrufen"
"Retrieve hierarchical tree","Hierarchischen Baum abrufen"
"Retrieve linked products","Verknüpfte Produkte abrufen"
"Retrieve list of assigned products","Liste mit zugewiesenen Produkten abrufen"
"Retrieve list of option values","Liste mit Optionswerten abrufen"
"Retrieve list of product custom options","Liste der benutzerdefinierten Produktoptionen abrufen"
"Retrieve one level of categories by website/store view/parent category","Eine Ebene von Kategorien pro Website/StoreView/Überkategorie abrufen"
"Retrieve option value info","Optionswert-Informationen abrufen"
"Retrieve product","Produkt abrufen"
"Retrieve product attribute sets","Produktmerkmale abfragen"
"Retrieve product image","Produktbild abrufen"
"Retrieve product image list","Liste der Produktbilder abfragen"
"Retrieve product image types","Produktbildtypen abrufen"
"Retrieve product link type attributes","Attribute des Produktlinktyps abrufen"
"Retrieve product link types","Produktlinktypen abrufen"
"Retrieve product tier prices","Produktstaffelpreise abrufen"
"Retrieve product types","Produkttypen abrufen"
"Retrieve products data","Produktdaten abfragen"
"Retrieve products list by filters","Produktliste gemäß Filter abrufen"
"Reviews","Bewertungen"
"Roll Over for preview","Darüber scrollen für eine Vorschau"
"Root","Root"
"SKU","Artikelposition"
"SKU length should be %s characters maximum.","Die SKU-Länge sollte maximal %s Zeichen betragen"
"Save","speichern"
"Save Attribute","Eigenschaft speichern"
"Save Attribute Set","Merkmale speichern"
"Save Category","Kategorie speichern"
"Save Search","Suche speichern"
"Save and Continue Edit","Speichern und Bearbeitung fortsetzen"
"Saved %d record(s)","%d gespeicherte(r) Eintrag/Einträge"
"Scope","Umfang"
"Scope must not be changed, because the attribute is used in configurable products.","Der Umfang darf nicht geändert werden, da dieses Attribut bei konfigurierbaren Produkten verwendet wird."
"Search","Suche"
"Search Engine Optimizations","Suchmaschinen Optimierung"
"Search Information","Suchinformationen"
"Search Query","Suchanfrage"
"Search Term with such search query already exists.","Suchbegriff mit dieser Suchanfrage existiert bereits."
"Search Weight","Gewicht durchsuchen"
"Searchable","Suchbar"
"See price before order confirmation.","Preis vor Bestellbestätigung ansehen."
"Select Category...","Kategorie auswählen…"
"Select Configurable Attributes ","Konfigurierbare Merkmale auswählen"
"Select Product...","Produkt aussuchen…"
"Select type of option","Optionsart auswählen"
"Select type options required values rows.","Typenoptionen für benötigte Wertezeilen auswählen."
"Selected Product Types","Ausgewählte Produkttypen"
"Selected configuration is not available.","Gewählte Konfiguration ist nicht verfügbar."
"Send Count","Zählerstand senden"
"Set Ascending Direction","Aufsteigende Sortierung einstellen"
"Set Descending Direction","In absteigender Reihenfolge"
"Set Name","Name einstellen"
"Set Root Category for Store","Rootkategorie für Store festlegen"
"Set root category for this store in the <a href=""%s"">configuration</a>","Stellen Sie eine Stammkategorie für diesen Shop in der <a href=""%s"">Konfiguration</a> ein."
"Set special price","Sonderpreis festlegen"
"Set/Get current store view","Aktuelle Shopansicht auswählen/anfordern"
"Settings","Einstellungen"
"Shop By","Shop nach"
"Shopping Options","Einkaufsoptionen"
"Show","Anzeigen"
"Show Details","Details anzeigen"
"Show Tags","Schlagworte anzeigen"
"Simple Product","Einfaches Produkt"
"Site Map","Sitemap"
"Sitemap","Sitemap"
"Skip import row, is not valid value ""%s"" for field ""%s""","Import-Zeile überspringen, kein gültiger Wert ""%s"" für Feld ""%s"""
"Skip import row, required field ""%s"" for the new customer is not defined.","Import der Reihe übersprungen. Das benötigte Feld ""%s"" für den neuen Kunden ist nicht definiert."
"Skip import row, the value ""%s"" is invalid for field ""%s""","Import-Zeile überspringen, der Wert ""%s"" ist für Feld ""%s"" nicht gültig"
"Skipping import row, required field ""%s"" for new products is not defined.","Importzeile übersprungen, das benötigte Feld ""%s"" für neue Produkte ist nicht definiert"
"Skipping import row, required field ""%s"" is not defined.","Import der Reihe wird jetzt übersprungen. Das benötigte Feld ""%s"" ist nicht definiert."
"Skipping import row, store ""%s"" field does not exist.","Import-Zeile wird übersprungen, ""%s"" Feld als nicht vorhanden speichern"
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.","Import der Reihe übersprungen. Der Wert ""%s"" ist nicht gültig für das Feld ""%s""."
"Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.","Für einige der verarbeiteten Produkte wurde kein SKU-Wert angegeben. Bitte geben Sie diese an, bevor Sie diese Produkte weiter bearbeiten."
"Some of the products below do not have all the required options. Please edit them and configure all the required options.","Einige der unten angegebenen Produkte haben nicht alle benötigten Optionen. Bitte bearbeiten Sie sie und konfigurieren Sie alle benötigten Optionen."
"Sort By","Sortieren nach"
"Sort Order","Sortierfolge"
"Source Model","Source-Modell"
"Special Expires On: %s","Angebot läuft ab am: %s"
"Special Price:","Sonderpreis:"
"Special Price: %s","Sonderpreis: %s"
"Starting at:","Ab:"
"Static","Statisch"
"Static block and products","Statischer Block und Produkte"
"Static block only","Nur statischer Block"
"Status","Status"
"Stock Availability","Lagerbestand"
"Store","Shop"
"Store View","Store-Ansicht"
"Stretch","Dehnen"
"Subscribe to RSS Feed","Für RSS Feed anmelden"
"Super product attributes configuration","Überprodukt Attributkonfiguration"
"Synonym For","Synonym für"
"System Properties","Systemeinstellungen"
"Tag Name","Tagname"
"Tax","Steuer"
"Template","Vorlage"
"Text","Text"
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module","Der Wohnungskatalog lässt sich nur nach %2\$d Eigenschaften durchsuchen oder sortieren. Im Moment sind aber %1\$d angegeben. Für die Verwendung dieses Moduls verringern sie bitte die Anzahl der Filter-/Sortiereigenschaften."
"The attribute model is not defined","Das Attributmuster ist nicht definiert"
"The attribute set has been saved.","Die Merkmale wurden gespeichert"
"The base directory to upload file is not specified.","Das Basisverzeichnis, in das die Datei hochgeladen werden soll, wurde nicht angegeben."
"The category has been deleted.","Die Kategorie wurde gelöscht."
"The category has been saved.","Die Kategorie wurde gespeichert."
"The comparison list was cleared.","Die Vergleichsliste wurde geleert."
"The file '%s' for '%s' has an invalid extension","Die Datei '%s' für '%s' hat eine unerlaubte Dateiendung"
"The file '%s' you uploaded is larger than %s Megabytes allowed by server","Die von Ihnen hochgeladene Datei '%s' ist größer als die vom Server erlaubten %s Megabyte"
"The file you uploaded is larger than %s Megabytes allowed by server","Die Datei, die Sie hochladen möchten, ist größer als die vom Server erlaubten %s Megabytes."
"The filters must be an array.","Die Filter müssen als Array vorliegen."
"The image contents is not valid base64 data.","Die Bildinhalte sind keine gültigen Base64-Daten."
"The image is not specified.","Das Bild ist nicht angegeben."
"The model collection resource name is not defined.","Der Ressourcenname der Modellsammlung ist nicht definiert."
"The product %s has been added to comparison list.","Das Produkt %s wurde zur Vergleichsliste hinzugefügt."
"The product %s has been removed from comparison list.","Das Produkt %s wurde von Vergleichsliste entfernt."
"The product attribute has been deleted.","Das Produktattribut wurde gelöscht."
"The product attribute has been saved.","Das Produktattribut wurde gespeichert."
"The product has been created.","Das Produkt wurde angelegt."
"The product has been deleted.","Das Produkt wurde gelöscht."
"The product has been duplicated.","Das Produkt wurde dupliziert."
"The product has been saved.","Das Produkt wurde gespeichert."
"The product has required options","Das Produkt hat Pflichtangaben"
"The review has been deleted","Diese Bewertung wurde gelöscht"
"The review has been saved.","Diese Bewertung wrude gespeichert."
"The review was removed by another user or does not exist.","Diese Bewertung wurde von einem anderen Benutzer entfernt oder existiert nicht."
"The search was deleted.","Diese Suche wurde gelöscht."
"The text is too long","Der Text ist zu lang"
"There are no %s available.","Es sind keine %s verfügbar."
"There are no customers for this alert","Es gibt keine Kunden für diesen Wanhinweis"
"There are no customers for this alert.","Es gibt keine Kunden für diesen Wanhinweis."
"There are no products matching the selection.","Es gibt keine Produkte, die dieser Auswahl entsprechen."
"There was an error while request processing.","Bei der Bearbeitung der Anfrage ist ein Fehler aufgetreten."
"This Attribute no longer exists","Dieses Merkmal existiert nicht mehr"
"This attribute cannot be deleted.","Diese Eigenschaft kann nicht gelöscht werden."
"This attribute cannot be edited.","Dieses Merkmal kann nicht bearbeitet werden."
"This attribute cannot be updated.","Diese Eigenschaft kann nicht aktualisiert werden."
"This attribute is used in configurable products.","Das Attribut wurde in konfigurierbaren Produkten verwendet."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Diese Eigenschaft wird für konfigurierbare Produkte benötigt. Sie können sie nicht aus dem Eigenschaftenset entfernen."
"This attribute no longer exists","Dieses Attribut existiert nicht mehr."
"This attribute set no longer exists.","Dieses Eigenschaftenset existiert nicht mehr."
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Diese Gruppe enthält Eigenschaften, die für konfigurierbare Produkte benutzt werden. Bitte verschieben Sie diese Eigenschaften in eine andere Gruppe und versuchen Sie es noch einmal."
"This group contains system attributes. Please move system attributes to another group and try again.","Diese Gruppe enthält System Eigenschaften. Bitte verschieben Sie System Eigenschaften in eine andere Gruppe und versuchen Sie es noch einmal."
"This is a required option","Dies ist eine obligatorische Option"
"This product no longer exists.","Dieses Produkt existiert nicht mehr."
"This search no longer exists.","Diese Suche existiert nicht mehr."
"This setting will be applied when all prices in the specific price interval are equal.","Diese Einstellung wird angewandt, wenn alle Preise in dem spezifischen Preisintervall gleich sind."
"Tier Pricing","Preisebene"
"Tile","Kachel"
"Time Format","Zeitformat"
"Title","Titel"
"To reindex the enabled product(s), the store or product must be specified","Um die aktivierten Produkte neu zu indexieren, muss der Shop oder das Produkt angegeben werden."
"To see product price, add this item to your cart. You can always remove it later.","Um den Produktpreis sehen zu können, müssen Sie das Produkt in Ihren Einkaufswagen legen. Sie können es später wieder löschen."
"Top/Left","Oben links"
"Top/Right","Oben/Rechts"
"Total Qty Base Items","Gesamtanzahl der Produkte bei Google Base"
"Total incl. Tax: %1$s","Gesamtsumme inkl. Steuern: %1$s"
"Total of %d record(s) have been deleted.","Insgesamt %d Einträge wurden gelöscht."
"Total of %d record(s) have been updated.","Insgesamt %d Einträge wurden aktualisiert."
"Total of %d record(s) were updated","Insgeamt wurde(n) %d Aufzeichnung(en) aktualisiert"
"Type","Typ"
"URL Rewrite Management","URL Umformulierungsverwaltung"
"Unable to complete this request.","Anfrage konnte nicht ausgeführt werden."
"Unable to find a search term to delete.","Es wurde kein Suchbegriff zum Löschen gefunden."
"Unable to find an attribute to delete.","Es wurde kein Attribut zum Löschen gefunden."
"Unable to get the product ID.","Produktnummer konnte nicht ermittelt werden."
"Unassigned Attributes","Nicht zugewiesene Attribute"
"Unknown EAV indexer type ""%s"".","Unbekannter EAV Indizierungstyp ""%s""."
"Unknown attribute: %s.","Unbekanntes Attribut: %s."
"Unsupported product type ""%s"".","Nicht unterstützter Produkttyp ""%s""."
"Up-sells","Up-Selling"
"Update","Aktualisieren"
"Update Attributes","Merkmale aktualisieren"
"Update Tier Price","Staffelpreise aktualisieren"
"Update assigned product","Zugewiesenes Produkt aktualisieren"
"Update attribute","Attribut aktualisieren"
"Update attributes","Attribute aktualisiert"
"Update category","Kategorie aktualisieren"
"Update custom option of product","Benutzerdefinierte Option des Produkts überspringen"
"Update product","Produkt aktualisieren"
"Update product image","Produktbild aktualisieren"
"Update product link","Produktlink aktualisieren"
"Update product tier prices","Produktstaffelpreise aktualisieren"
"Update value of custom option","Wert der benutzerdefinierten Option aktualisieren"
"Upload new product image ","Neues Produktbild hochladen"
"Use Canonical Link Meta Tag For Categories","Canonical Link Element für Kategorien verwenden"
"Use Canonical Link Meta Tag For Products","Canonical Link Meta Tag für Produkte nutzen"
"Use Categories Path for Product URLs","Kategoriepfad für Produkt-URLs verwenden"
"Use Config Settings","Konfigurations-Einstellungen verwenden"
"Use Default Value","Standardwert verwenden"
"Use Flat Catalog Category","Flat Catalog Category verwenden"
"Use Flat Catalog Product","Flat Catalog Product verwenden"
"Use In Layered Navigation","Filternavigation auf Suchergebnisseiten verwenden"
"Use In Search Results Layered Navigation","Navigation in Suchergebnissen nutzen"
"Use JavaScript Calendar","JavaScript Kalender verwenden"
"Use Static URLs for Media Content in WYSIWYG for Catalog","Statische URLs für Medieninhalt in WYSIWYG für Katalog nutzen"
"Use To Create Configurable Product","Verwenden um konfigurierbares Produkt zu erstellen"
"Use Tree Like Category Sitemap","Kategorie-Sitemap in Baumansicht verwenden"
"Use config","config verwenden"
"Use default","Standard verwenden"
"Use for Promo Rule Conditions","Für Promo Regelbedingungen verwenden"
"Use four-digit year format.","Das 4-stellige Jahresformat verwenden."
"Use in Advanced Search","In erweiterter Suche verwenden"
"Use in Layered Navigation","In mehrschichtiger Navigation verwenden"
"Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","In Filter-Navigation verwenden<br/>(Kann nur mit 'Dropdown' verwendet werden)"
"Use in Quick Search","Bei Schnellsuche nutzen"
"Used for Sorting in Product Listing","Für Sortierung im Produkt-Listing verwendet"
"Used in Product Listing","Im Produkt-Listing verwendet"
"Value for ""%s"" is invalid.","Wert für ""%s"" ist ungültig."
"Value for ""%s"" is invalid: %s","Wert für ""%s"" ist ungültig: %s"
"Varchar","Varchar"
"View as","Darstellung als"
"Virtual Product","Virtuelles Produkt"
"Visibility","Sichtbarkeit"
"Visible","Sichtbar"
"Visible on Catalog Pages on Front-end","Sichtbar auf Katalogseiten im Frontend"
"Visible on Product View Page on Front-end","Sichtbar auf Produkt-Infoseite im Frontend"
"WYSIWYG Editor","WYSIWYG Editor"
"Watermark","Wasserzeichen"
"Watermark Default Size","Wasserzeichen Standardgröße"
"Watermark Opacity, Percent","Wasserzeichen Opazität, Prozent"
"Watermark Position","Wasserzeichen Position"
"Website","Website"
"Website Item Must be checked","Website Artikel muss geprüft sein"
"Website Store Must be checked","Shop der Webseite muss geprüft werden"
"Websites","Webseiten"
"What's this?","Was ist das?"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Ob die ""Alle""-Option in dem ""Zeige X pro Seite""-Dropdown-Menü angezeigt werden soll."
"Will make search for the query above return results for this search.","Werde für die obenstehende Frage eine Suche starten und die Suchergebnisse mitteilen."
"Wrong BuyRequest instance in options group.","Falsche Kauf-Anfrage der Instanz in der Options-Gruppe."
"Wrong configuration item instance in options group.","Falsches Konfigurationselement Beispiel in Gruppe Optionen."
"Wrong configuration item option instance in options group.","Falsches Konfigurationselement Optionsbeispiel in Gruppe Optionen."
"Wrong option instance type in options group.","Falscher Optionsinstanz-Typ in der Options-Gruppe."
"Wrong option type to get group instance.","Falscher Options-Typ um die Gruppen-Instanz zu erhalten."
"Wrong product instance type in options group.","Falsches Produktbeispiel in Optionengruppe."
"Wrong product type filter specified","Falscher Produkttyp Filter festgelegt"
"Wrong product type to extract configurable options.","Falscher Produkt-Typ, um konfigurierbare Optionen zu extrahieren."
"Year Range","Jahres-Zeitraum"
"Yes","Ja"
"You cannot remove system attribute from this set.","Dieses Systemattribut kann aus dieser Gruppe nicht entfernt werden."
"You have no items to compare.","Sie haben keine Gegenstände zum Vergleich."
"You may also be interested in the following product(s)","Sie könnten auch an folgenden Produkten interessiert sein"
"Zoom In","Vergrößern"
"Zoom Out","Verkleinern"
"and","und"
"and above","und oben"
"categories","Kategorien"
"each","jede"
"ex. http://domain.com","z.B. http://domain.com"
"leave blank if its not an image","Leer lassen falls es kein Bild ist"
"per page","pro Seite"
"products","Produkte"
"px.","px."
"save","Speichern"
"select all","Alles auswählen"
"unselect all","Alles abwählen"
"x","x"
