All,Todo
"New Products List Template","Plantilla de lista de nuevos productos"
"New Products Images and Names Template","New Products Images and Names Template"
"New Products Names Only Template","New Products Names Only Template"
"New Products Images Only Template","New Products Images Only Template"
"Cache Lifetime (Seconds)","Duración máxima de la memoria caché (segundos)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache."
"Catalog Product Link","Enlace al Catálgo de Productos"
"Link to a Specified Product","Enlace a un producto específico"
"If empty, the Product Name will be used","If empty, the Product Name will be used"
"Product Link Block Template","Plantilla de Bloque de Vínculo de Producto"
"Product Link Inline Template","Plantilla En Línea de Vínculo de Producto"
"Catalog Category Link","Enlace a la Categoría de Catálogo"
"Link to a Specified Category","Enlace a una categoría específica"
"If empty, the Category Name will be used","Si se deja en blanco, se usará el Nombre de Categoría"
"Category Link Block Template","Modelo del bloque de enlaces de Categorías"
"Category Link Inline Template","Modelo de enlaces en línea a Categorías"
Set,"Establecer nombre"
none,none
Overview,Overview
"Qty for Item's Status to Become Out of Stock","Qty for Item's Status to Become Out of Stock"
