All,Alles
"List of Products that are set as New","Lijst van Producten die zijn ingesteld als Nieuw"
"Display Type","Display Type"
"All products - recently added products, New products - products marked as new","All products - recently added products, New products - products marked as new"
"All products","All products"
"New products","New products"
"Display Page Control","Display Page Control"
"Number of Products per Page","Number of Products per Page"
"Number of Products to Display","Aantal Producten Weer te Geven"
"New Products Grid Template","Patroon Nieuwe Producten Rooster"
"New Products List Template","Nieuw Product Lijst Sjabloon"
"New Products Images and Names Template","New Products Images and Names Template"
"New Products Names Only Template","New Products Names Only Template"
"New Products Images Only Template","New Products Images Only Template"
"Cache Lifetime (Seconds)","Cache levensduur (Seconden)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache."
"Catalog Product Link","Catalogus Product Link"
"Link to a Specified Product","Link naar een Gespecificeerd Product"
"If empty, the Product Name will be used","If empty, the Product Name will be used"
"Product Link Block Template","Productlink blok sjabloon"
"Product Link Inline Template","Productlink inline sjabloon"
"Catalog Category Link","Catalogus categorie link"
"Link to a Specified Category","Link naar een Gespecificeerde Categorie"
"If empty, the Category Name will be used","Als u het leeg laat, zal de Categorie Naam gebruikt worden"
"Category Link Block Template","Categorie Link Bloktemplate"
"Category Link Inline Template","Categorie Link Inline Template"
Set,"Stel Naam in"
none,none
Overview,Overview
"Qty for Item's Status to Become Out of Stock","Qty for Item's Status to Become Out of Stock"
