"# of Use","# 使用"
"%1$s incl tax.","%1$s 含税。"
"%s - %s","%s - %s"
"%s Item(s)","%s 个项目"
"%s and above","%s 及以上"
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module","平坦分类模块被限制为 %2\$d 个筛选器和/或可排序属性。目前已经使用了 %1\$d 个。为了使用该模块，请减少所用筛选器/排序属性的数量"
"The attribute model is not defined","属性型号未定义"
"The attribute set has been saved.","属性集已保存。"
"The base directory to upload file is not specified.","文件上传的基本目录尚未指定。"
"The category has been deleted.","分类已保存。"
"The category has been saved.","类别已保存。"
"The comparison list was cleared.","比较列表被清空。"
"The file '%s' for '%s' has an invalid extension","'%s' 的文件 '%s' 扩展有误"
"The file '%s' you uploaded is larger than %s Megabytes allowed by server","您上传的文件 '％s' 大于服务器允许的 ％s 兆"
"The file you uploaded is larger than %s Megabytes allowed by server","您上传的文件大于服务器所允许的 %s 兆字节"
"The filters must be an array.","过滤器必须为数组。"
"The image contents is not valid base64 data.","图像内容不是有效的 base64 数据。"
"The image is not specified.","图片未指定。"
"The model collection resource name is not defined.","型号集合资源名称未定义。"
"The product %s has been added to comparison list.","产品 %s 已被添加至比较列表。"
"The product %s has been removed from comparison list.","产品 %s 已从比较列表中删除。"
"The product attribute has been deleted.","产品属性已被删除。"
"The product attribute has been saved.","产品属性已保存。"
"The product has been created.","产品已创建。"
"The product has been deleted.","产品已被删除。"
"The product has been duplicated.","产品已复制。"
"The product has been saved.","产品已保存。"
"The product has required options","产品包含必需的选项"
"The review has been deleted","评论已被删除"
"The review has been saved.","评论已保存。"
"The review was removed by another user or does not exist.","评论已被另一用户删除，或评论不存在。"
"The search was deleted.","搜索被删除。"
"The text is too long","文本过长"
"There are no %s available.","没有可用的 %s。"
"There are no customers for this alert","没有客户适用于此提醒"
"There are no customers for this alert.","没有客户适用于此提醒。"
"There are no products matching the selection.","没有产品匹配该选择。"
"There was an error while request processing.","处理请求时遇到了错误。"
"This Attribute no longer exists","该属性已不存在"
"This attribute cannot be deleted.","该属性无法被删除。"
"This attribute cannot be edited.","该属性无法编辑。"
"This attribute cannot be updated.","该属性无法更新。"
"This attribute is used in configurable products.","该属性已用于可配置产品。"
"This attribute is used in configurable products. You cannot remove it from the attribute set.","该属性用于可配置的产品。您无法从属性集中将其删除。"
"This attribute no longer exists","该属性不存在"
"This attribute set no longer exists.","该属性已不存在。"
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","该群组包含用于可配置产品的属性。请移动这些属性到另一群组并重试。"
"This group contains system attributes. Please move system attributes to another group and try again.","该群组包含系统属性。请移动系统属性到另一群组并重试。"
"This is a required option","这是必选的选项"
"This product no longer exists.","该产品已不存在。"
"This search no longer exists.","该搜索已不存在。"
"This setting will be applied when all prices in the specific price interval are equal.","如果指定价格间隔的所有价格都相等，将应用该设置。"
"Tier Pricing","层级价格"
"Tile","平铺"
"Time Format","时间格式"
"Title","标题"
"To reindex the enabled product(s), the store or product must be specified","要对已启用的产品重新索引，必须指定商店或产品"
"To see product price, add this item to your cart. You can always remove it later.","要查看产品价格，请添加该项目到您的购物车。您总是可以稍后删除它。"
"Top/Left","顶部/左侧"
"Top/Right","顶部/右侧"
"Total Qty Base Items","总数量 基础项目"
"Total incl. Tax: %1$s","含税总额：%1$s"
"Total of %d record(s) have been deleted.","总共%d记录已被删除。"
"Total of %d record(s) have been updated.","总共%d记录已被更新。"
"Total of %d record(s) were updated","共更新 %d 条记录"
"Type","类型"
"URL Rewrite Management","URL重写管理"
"Unable to complete this request.","无法完成该请求。"
"Unable to find a search term to delete.","无法找到搜索词来删除。"
"Unable to find an attribute to delete.","无法找到要删除的属性。"
"Unable to get the product ID.","无法获得产品 ID。"
"Unassigned Attributes","未分配的属性"
"Unknown EAV indexer type ""%s"".","未知 EAV 索引类型 ""%s"" 。"
"Unknown attribute: %s.","未知属性：%s。"
"Unsupported product type ""%s"".","不支持的产品类型 ""%s""。"
"Up-sells","超售"
"Update","更新"
"Update Attributes","更新属性"
"Update Tier Price","更新层级价格"
"Update assigned product","更新分配的产品"
"Update attribute","更新属性"
"Update attributes","更新属性"
"Update category","更新类别"
"Update custom option of product","更新产品的自定义选项"
"Update product","更新产品"
"Update product image","更新产品图像"
"Update product link","更新产品链接"
"Update product tier prices","更新产品层价格"
"Update value of custom option","更新自定义选项的值"
"Upload new product image ","上传新产品图片"
"Use Canonical Link Meta Tag For Categories","类别使用规范链接 Meta 标签"
"Use Canonical Link Meta Tag For Products","为产品使用标准的链接元数据标签"
"Use Categories Path for Product URLs","产品 URL 使用分类路径"
"Use Config Settings","使用配置设置"
"Use Default Value","使用默认值"
"Use Flat Catalog Category","使用平面目录产品分类"
"Use Flat Catalog Product","使用平面目录产品"
"Use In Layered Navigation","使用分层导航"
"Use In Search Results Layered Navigation","使用搜索结果内层次导航"
"Use JavaScript Calendar","使用 JavaScript 日历"
"Use Static URLs for Media Content in WYSIWYG for Catalog","为分类的所见即所得编辑中的媒体内容使用静态URL"
"Use To Create Configurable Product","用于创建可配置的产品"
"Use Tree Like Category Sitemap","使用树形分类站点地图"
"Use config","用户配置"
"Use default","使用默认"
"Use for Promo Rule Conditions","使用促销规则条件"
"Use four-digit year format.","使用四位年份格式。"
"Use in Advanced Search","使用高级搜索"
"Use in Layered Navigation","用在层次式导航中"
"Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","使用分层导航<br/>（仅在分类输入类型为“下拉”时使用）"
"Use in Quick Search","使用快速搜索"
"Used for Sorting in Product Listing","在产品列表中使用排序"
"Used in Product Listing","用于产品清单"
"Value for ""%s"" is invalid.","""%s"" 的值无效。"
"Value for ""%s"" is invalid: %s","""%s"" 的值是无效的： %s"
"Varchar","可变长字符串"
"View as","查看为"
"Virtual Product","虚拟产品"
"Visibility","可见性"
"Visible","可见"
"Visible on Catalog Pages on Front-end","前端分类页面的可见性"
"Visible on Product View Page on Front-end","在前端产品视图页面可见"
"WYSIWYG Editor","所见即所得编辑器"
"Watermark","水印"
"Watermark Default Size","水印默认大小"
"Watermark Opacity, Percent","水印不透明度，百分比"
"Watermark Position","水印位置"
"Website","网站"
"Website Item Must be checked","网站项目必须检查"
"Website Store Must be checked","网站店铺必须被选中"
"Websites","网站"
"What's this?","这是什么？"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","是否在“每页显示 X 个”下拉菜单中显示“全部” 选项。"
"Will make search for the query above return results for this search.","执行上述查询的搜索是否返回该搜索的结果。"
"Wrong BuyRequest instance in options group.","选项组中错误的购买请求实例。"
"Wrong configuration item instance in options group.","选项组中错误的配置项目实例。"
"Wrong configuration item option instance in options group.","选项组中存在错误配置项目选项的实例。"
"Wrong option instance type in options group.","选项组中错误的选项实例类型。"
"Wrong option type to get group instance.","错误的选项类型来获得群组实例。"
"Wrong product instance type in options group.","选项组中错误的产品实例类型。"
"Wrong product type filter specified","错误的已指定产品类型过滤器"
"Wrong product type to extract configurable options.","错误的产品类型来提取可配置选项。"
"Year Range","年份范围"
"Yes","是"
"You cannot remove system attribute from this set.","您无法从此集合中移除系统属性。"
"You have no items to compare.","您没有可比较的项目。"
"You may also be interested in the following product(s)","您还可能对下列产品感兴趣"
"Zoom In","放大"
"Zoom Out","缩小"
"and","和"
"and above","及以上"
"categories","类别"
"each","每个"
"ex. http://domain.com","例如 http://domain.com"
"leave blank if its not an image","如果非图片请留空"
"per page","每页"
"products","产品"
"px.","像素"
"save","保存"
"select all","全选"
"unselect all","撤销全选"
"x","x"
