"-OR-","-OU-"
"Website Payments Pro Hosted Solution Settings","Paiements site Internet Pro Solution hébergée Paramètres"
"Website Payments Pro Payflow Edition (includes Express Checkout)","Edition de paiement professionnels pour sites"
"Website Payments Pro Settings","Options de paiement professionnels pour sites"
"Website Payments Standard","Paiements sites web standards"
"Website Payments Standard Payment","Paiements sites web standards"
"Website Payments Standard Settings","Options des paiements sites web standards"
"What is PayPal?","Qu'est-ce que Paypal ?"
"Whether to create a billing agreement, if there are no active billing agreements available.","Ou de créer un accord de facturation, si aucun n'est disponible."
"Will appear as a payment option only for customers who have at least one active billing agreement.","Apparaîtra comme une option de paiement uniquement aux utilisateurs disposant d'au moins un accord de facturation actif."
"WorldLink Withdrawal","Virement WorldLink"
"Would you like to sign a billing agreement to streamline further purchases with PayPal?","Voulez-vous signer un accord de facturation afin de pouvoir continuer les paiements via Paypal ?"
"Wrong Order ID (%s) specified.","Mauvais identifiant de la commande (%s)."
"Wrong PayPal Express Checkout Token specified.","Mauvais code de vérification du paiement express via Paypal."
"Yes. Matched Address and five-didgit ZIP","Oui. Adresse correspondante et ZIP à 5 chiffres"
"You will be redirected to the PayPal website when you place an order.","Vous serez redirigé vers le site de Paypal lorsque vous commanderez."
"chargeback settled","Remboursement effectué."
"merchant refunded payment","Le vendeur a remboursé le paiement."
"reversal of an adjustment","Annulation d'un ajustement."
"Yes","oui"
"You will be redirected to the PayPal website in a few seconds.","Vous serez redirigé vers le site web de Paypal dans quelques secondes."
"You will be redirected to the PayPal website.","Vous serez redirigé vers le site de Paypal."
"You will be required to enter your payment details after you place an order.","Vous devrez saisir vos informations de paiement après avoir passé une commande."
"chargeback reimbursed","Remboursement effectué."
"customer complaint","Plainte d'un utilisateur."
"customer triggered a chargeback","L'utilisateur a déclenché une demande de remboursement."
"customer triggered money-back guarantee","L'utilisateur a déclenché la garantie de remboursement."
"eBay Auction Payment","Paiement d'enchères eBay"
"no reason","Aucune raison."
"unknown reason","Raison inconnue."
