"# of Use","Utilisation numéro #"
"%1$s incl tax.","%1$s TTC"
"%s - %s","%s - %s"
"%s Item(s)","%s article(s)"
"%s and above","%s et au dessus"
"Products per Page on Grid Default Value","Produits par page sur les valeurs par défaut des lignes"
"Products per Page on List Allowed Values","Produit par page sur les valeurs autorisées des listes"
"Products per Page on List Default Value","Produits par page sur la valeur par défaut de la liste"
"Properties","Propriétés"
"Qty","Qté"
"Qty Increments","Augmentation de la quantité"
"Qty Uses Decimals","La quantité utilise des décimales"
"Qty for Item\'s Status to Become Out of Stock","Nombre de statuts de produits bientôt épuisés"
"Qty:","Qté:"
"Quantity","Quantité"
"Quick Create","Création Rapide"
"Quick Overview","Vue générale rapide"
"Quick simple product creation","Création de produit rapide et simple"
"Records for ""","Enregistrements pour """
"Redirect","Redirection"
"Redirect URL","Rediriger l'adresse URL"
"Regular Price:","Prix normal"
"Related Products","Produits apparentés"
"Remove","Supprimer"
"Remove Product From Websites","Supprimer le produit des sites web"
"Remove This Item","Retirer cet article"
"Remove attribute from attribute set","Supprimer un attribut de l'ensemble des attributs"
"Remove attribute set","Supprimer un ensemble d'attributs"
"Remove custom option","Supprimer l'option personnalisée"
"Remove group from attribute set","Supprimer un groupe de l'ensemble des attributs"
"Remove option","Retirer l'option"
"Remove product assignment","Supprimer l'affectation du produit"
"Remove product image","Enlever l'image du produit"
"Remove product link","Supprimer le lien du produit"
"Remove value from custom option","Retirer la valeur de l'option personnalisée"
"Rename existing group","Renommer un groupe existant"
"Rename group","Renommer un groupe"
"Reorganize EAV category structure to flat structure","Réorganiser la structure de la catégorie EAV en structure plate"
"Reorganize EAV product structure to flat structure","Réorganiser la structure du produit EAV en structure plate"
"Reset","Réinitialiser"
"Results","Résultats"
"Retrieve attribute data","Récupérer les données d'attributs"
"Retrieve attribute list","Extraire la liste de l'attribut"
"Retrieve attribute options","Extraire les options de l'attribut"
"Retrieve categories tree","Récupérer l'arbre des catégories"
"Retrieve category attributes","Extraire les attributs de la catégorie"
"Retrieve category data","Extraire les données de la catégorie"
"Retrieve hierarchical tree","Extraire l'arborescence hiérarchique"
"Retrieve linked products","Extraire les produits apparentés"
"Retrieve list of assigned products","Extraire la liste des produits affectés"
"Retrieve list of option values","Récupérer la liste des valeurs d'option"
"Retrieve list of product custom options","Récupérer la liste des options personnalisées de produit"
"Retrieve one level of categories by website/store view/parent category","Extraire un niveau de catégorie par site web/magasin/catégorie apparentée"
"Retrieve option value info","Récupérer les informations sur la valeur optionnelle"
"Retrieve product","Extraire le produit"
"Retrieve product attribute sets","Récupérer les ensembles d'attributs du produit"
"Retrieve product image","Extraire l'image du produit"
"Retrieve product image list","Récupérer la liste image du produit"
"Retrieve product image types","Extraire les types d'images du produit"
"Retrieve product link type attributes","Extraire les attributs du type de lien du produit"
"Retrieve product link types","Extraire les types de lien du produit"
"Retrieve product tier prices","Extraire les niveaux de prix du produit"
"Retrieve product types","Extraire les types de produit"
"Retrieve products data","Récupérer les données produits"
"Retrieve products list by filters","Extraire la liste des produits par filtrage"
"Reviews","Commentaires"
"Roll Over for preview","Passez votre souris par-dessus pour la prévisualisation"
"Root","Racine"
"SKU","UGS"
"SKU length should be %s characters maximum.","La longueur de l'UGS doit être de %s caractères maximum."
"Save","Sauvegarder"
"Save Attribute","Sauvegarder Attribut"
"Save Attribute Set","Enregistrer l'ensemble d'attributs"
"Save Category","Sauvegarder catégorie"
"Save Search","Sauvegarder recherche"
"Save and Continue Edit","Sauvegarder et continuer l'édition"
"Saved %d record(s)","Sauvegardé %d enregistrement(s)"
"Scope","Portée"
"Scope must not be changed, because the attribute is used in configurable products.","Le champ ne doit pas être changé, car l'attribut est utilisé dans des produits configurables."
"Search","Rechercher"
"Search Engine Optimizations","Optimisations du Moteur de Recherche"
"Search Information","Informations de recherche"
"Search Query","Demande de recherche"
"Search Term with such search query already exists.","Le terme recherché avec la même interrogation existe déjà."
"Search Weight","Recherche de poids"
"Searchable","Consultable"
"See price before order confirmation.","Voir le prix avant la confirmation de commande."
"Select Category...","Sélectionner Catégorie"
"Select Configurable Attributes ","Sélectionner les attributs configurables"
"Select Product...","Sélectionner Produit..."
"Select type of option","Sélectionner le type d'option"
"Select type options required values rows.","La sélection du type d'options a requis des rangs de valeurs."
"Selected Product Types","Types de Produits Sélectionnés"
"Selected configuration is not available.","La Configuration sélectionnée n'est pas valide."
"Send Count","Envoyer Compte"
"Set Ascending Direction","Par ordre croissant"
"Set Descending Direction","Définir Direction Descendante"
"Set Name","Définir le nom"
"Set Root Category for Store","Sélectionner Catégorie d'Origine pour Boutique"
"Set root category for this store in the <a href=""%s"">configuration</a>","Définir une catégorie source pour ce magasin dans la <a href=""%s"">configuration</a>"
"Set special price","Définir prix spécial"
"Set/Get current store view","Réglez/Obtenez la vue actuelle du magasin"
"Settings","Options"
"Shop By","Acheter par"
"Shopping Options","Options d'Achat"
"Show","Afficher"
"Show Details","Afficher les détails"
"Show Tags","Afficher Tags"
"Simple Product","Produit Simple"
"Site Map","Plan du Site"
"Sitemap","Plan du site"
"Skip import row, is not valid value ""%s"" for field ""%s""","Sauter la ligne d'importation, ""%s"" n'est une valeur valable pour le champ ""%s"""
"Skip import row, required field ""%s"" for the new customer is not defined.","Sauter la ligne importation, le champ requis ""%s"" pour le nouveau client n'est pas défini."
"Skip import row, the value ""%s"" is invalid for field ""%s""","Sauter la ligne d'importation, la valeur ""%s"" n'est pas valable pour le champ ""%s"""
"Skipping import row, required field ""%s"" for new products is not defined.","Saut de la ligne importation en cours, le champ ""%s"", requis pour les nouveaux produits, n'est pas défini."
"Skipping import row, required field ""%s"" is not defined.","Sauter la ligne d'importation, le champ requis ""%s"" n'est pas défini."
"Skipping import row, store ""%s"" field does not exist.","Sauter la ligne d'importation, le champ point de vente ""%s"" n'existe pas."
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.","Sauter la ligne d'importation, la valeur ""%s"" est invalide pour le champ ""%s""."
"Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.","Certains des produits traités n'ont pas de valeur UGS définie. Veuillez la saisir avant d'effectuer des opérations sur ces produits."
"Some of the products below do not have all the required options. Please edit them and configure all the required options.","Certains de produits ci-dessous n'ont pas toutes les options requises. Veuillez les éditer et configurer toutes les options requises."
"Sort By","Trier par"
"Sort Order","Trier la commande"
"Source Model","Modèle source"
"Special Expires On: %s","Spécial expire le : %s"
"Special Price:","Prix Spécial:"
"Special Price: %s","Prix spécial : %s"
"Starting at:","Dès:"
"Static","Statique"
"Static block and products","Bloc statique et produits"
"Static block only","Bloc statique uniquement"
"Status","Statut"
"Stock Availability","Disponibilité du Stock"
"Store","Magasin"
"Store View","Vue du magasin"
"Stretch","Étirer"
"Subscribe to RSS Feed","S'abonner au flux RSS"
"Super product attributes configuration","Configuration attributs super produit"
"Synonym For","Synonyme de"
"System Properties","Propriétés Système"
"Tag Name","Nom de l'étiquette"
"Tax","Taxe"
"Template","Modèle visuel"
"Text","Texte"
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module","La module du Catalogue fixe a une limite de %2\$d attributs filtrables et/ou triables. Il y en a actuellement %1\$d. Veuillez réduire le nombre d'attributs filtrables/triables afin d'utiliser ce module."
"The attribute model is not defined","Le modèle d'attribut n'est pas défini."
"The attribute set has been saved.","L'ensemble d'attributs a été enregistré."
"The base directory to upload file is not specified.","Le répertoire de base pour télécharger le fichier n'est pas spécifié."
"The category has been deleted.","La catégorie a été supprimée."
"The category has been saved.","La catégorie a été sauvegardée."
"The comparison list was cleared.","La liste de comparative a été vidée."
"The file '%s' for '%s' has an invalid extension","Le fichier '%s' pour '%s' a une extension invalide"
"The file '%s' you uploaded is larger than %s Megabytes allowed by server","Le fichier '%s' que vous ave envoyé est plus gros que les %s Mb autorisés par le serveur"
"The file you uploaded is larger than %s Megabytes allowed by server","Le fichier que vous avez téléchargé est supérieur aux %s Mb autorisés par le serveur"
"The filters must be an array.","Les filtres doivent être une matrice."
"The image contents is not valid base64 data.","Le contenu de l'image n'est pas valide en données de base64."
"The image is not specified.","L'image n'est pas spécifiée."
"The model collection resource name is not defined.","Le nom de la ressource du modèle collection n'est pas défini."
"The product %s has been added to comparison list.","Le produit %s a été ajouté à la liste comparative."
"The product %s has been removed from comparison list.","Le produit %s a été retiré de la liste comparative."
"The product attribute has been deleted.","L'attribut produit a été supprimé."
"The product attribute has been saved.","L'attribut produit a été sauvegardé."
"The product has been created.","Le produit a été créé."
"The product has been deleted.","Le produit a été supprimé."
"The product has been duplicated.","Le produit a été dupliqué."
"The product has been saved.","Le produit a été sauvegardé."
"The product has required options","Le produit a des options obligatoires."
"The review has been deleted","Le rapport a été supprimé"
"The review has been saved.","Le rapport a été enregistré."
"The review was removed by another user or does not exist.","Le rapport a été supprimé par un autre utilisateur ou n'existe pas."
"The search was deleted.","La recherche a été supprimée."
"The text is too long","Le texte est trop long"
"There are no %s available.","Il n'y a pas de %s disponible."
"There are no customers for this alert","Il n'y a pas de client pour cette alerte."
"There are no customers for this alert.","Il n'y a pas de client pour cette alerte."
"There are no products matching the selection.","Aucun produit ne correspond à la sélection."
"There was an error while request processing.","Une erreur s'est produite lors du traitement de votre demande."
"This Attribute no longer exists","Cet attribut n'existe plus"
"This attribute cannot be deleted.","L'attribut ne peut pas être supprimé."
"This attribute cannot be edited.","Cet attribut ne peut pas être modifié."
"This attribute cannot be updated.","L'attribut ne peut pas être mis à jour."
"This attribute is used in configurable products.","Cet attribut est utilisé dans les produits configurables."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","L'attribut est utilisé dans des produits paramétrables. Vous ne pouvez pas le retirer de la série d'attributs."
"This attribute no longer exists","Cet attribut n'existe plus"
"This attribute set no longer exists.","La série d'attributs n'existe plus."
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Le groupe contient des attributs, utilisés dans des produits paramétrables. Veuillez déplacer ces attributs vers un autre groupe et réessayer."
"This group contains system attributes. Please move system attributes to another group and try again.","Le groupe contient des attributs système. Veuillez déplacer les attributs système vers un autre groupe et réessayer."
"This is a required option","Cette option est requise"
"This product no longer exists.","Ce produit n'existe plus."
"This search no longer exists.","Cette recherche n'existe plus."
"This setting will be applied when all prices in the specific price interval are equal.","Ce paramètre sera appliqué lorsque tous les prix dans l'intervalle de prix spécifique sont égaux."
"Tier Pricing","Catégorie de prix"
"Tile","Carreau"
"Time Format","Format horaire"
"Title","Titre"
"To reindex the enabled product(s), the store or product must be specified","Pour réindexer les produits activés, la boutique ou le produit doit être spécifié"
"To see product price, add this item to your cart. You can always remove it later.","Pour voir le prix du produit, ajoutez ce produit à votre panier. Vous pourrez toujours le supprimer plus tard."
"Top/Left","Supérieur/Gauche"
"Top/Right","Haut / Droite"
"Total Qty Base Items","Qté Totale d'articles de base"
"Total incl. Tax: %1$s","Total, TVA incl. : %1s"
"Total of %d record(s) have been deleted.","Un total de %d entrée(s) ont été supprimées."
"Total of %d record(s) have been updated.","Un total de %d entrée(s) ont été mises à jour."
"Total of %d record(s) were updated","Un total de %d enregistrements ont été mis à jour."
"Type","Type"
"URL Rewrite Management","Gestion de réécriture d'URL"
"Unable to complete this request.","Impossible de répondre à la demande."
"Unable to find a search term to delete.","Impossible de trouver un terme de recherche à supprimer."
"Unable to find an attribute to delete.","Impossible de trouver un attribut à supprimer."
"Unable to get the product ID.","Impossible d'obtenir l'ID produit."
"Unassigned Attributes","Attributs non assignés"
"Unknown EAV indexer type ""%s"".","Type d’indexer EAV inconnu ""%s""."
"Unknown attribute: %s.","Attribut inconnu: %s."
"Unsupported product type ""%s"".","Type de produit ""%s"" non pris en charge."
"Up-sells","Ventes additionnelles"
"Update","Mise à jour"
"Update Attributes","Mettre à jour les attributs"
"Update Tier Price","Mettre à jour le niveau de prix"
"Update assigned product","Mettre à jour le produit assigné"
"Update attribute","Mettre à jour l'attribut"
"Update attributes","Attributs de la mise à jour"
"Update category","Mettre à jour la catégorie"
"Update custom option of product","Mettre à jour l'option personnalisée du produit"
"Update product","Mettre à jour le produit"
"Update product image","Mettre à jour l'image du produit"
"Update product link","Mettre à jour le lien du produit"
"Update product tier prices","Mettre à jour le niveau des prix du produit"
"Update value of custom option","Mettre à jour la valeur de l'option personnalisée"
"Upload new product image ","Charger une nouvelle image produit"
"Use Canonical Link Meta Tag For Categories","Utiliser les méta-données du lien canonique pour les catégories"
"Use Canonical Link Meta Tag For Products","Utiliser Canonical Link Meta Tag pour les produits"
"Use Categories Path for Product URLs","Utiliser le Chemin des Catégories pour les URL de Produits"
"Use Config Settings","Utiliser les Paramètres de Configuration"
"Use Default Value","Utiliser la valeur par défaut"
"Use Flat Catalog Category","Utiliser la Catégorie des Catalogues à Plat"
"Use Flat Catalog Product","Utiliser un Produit de Catalogue à Plat"
"Use In Layered Navigation","Utiliser en Navigation par Couches"
"Use In Search Results Layered Navigation","Utilisez la page de résultats de navigation en couches"
"Use JavaScript Calendar","Utiliser le Calendrier JavaScript"
"Use Static URLs for Media Content in WYSIWYG for Catalog","Utilisez des URL statiques pour le contenu multimédia en mode WYSIWYG pour le catalogue"
"Use To Create Configurable Product","Permet de créer des produits configurables"
"Use Tree Like Category Sitemap","Utiliser la carte du site sous forme de hiérarchie"
"Use config","Utiliser config"
"Use default","Utiliser le défaut"
"Use for Promo Rule Conditions","Utiliser pour les conditions de la promotion"
"Use four-digit year format.","Utiliser un format de date sur quatre caractères"
"Use in Advanced Search","Utiliser en recherche avancée"
"Use in Layered Navigation","Utiliser dans la navigation en couches"
"Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Utiliser en Navigation par Couches<br/>(Utilisable seulement avec le type d'entrée catalogue 'Liste déroulante')"
"Use in Quick Search","Utilisation dans la recherche rapide"
"Used for Sorting in Product Listing","Utilisé pour Trier dans une Liste de Produits"
"Used in Product Listing","Utilisé dans une Liste de Produits"
"Value for ""%s"" is invalid.","La valeur pour ""%s"" est invalide."
"Value for ""%s"" is invalid: %s","La valeur pour ""%s"" est invalide : %s"
"Varchar","Varchar"
"View as","Visualiser comme"
"Virtual Product","Produit virtuel"
"Visibility","Visibilité"
"Visible","Visible"
"Visible on Catalog Pages on Front-end","Visible sur les Pages Catalogue dans l'interface utilisateur"
"Visible on Product View Page on Front-end","Visible sur la Page Vue Produit dans l'interface utilisateur"
"WYSIWYG Editor","Éditeur WYSIWYG"
"Watermark","Filigrane"
"Watermark Default Size","Taille par Défaut du Filigrane"
"Watermark Opacity, Percent","Opacité du Filigrane, en Pourcentage"
"Watermark Position","Position du Filigrane"
"Website","Site"
"Website Item Must be checked","L'élément de Site Web doit être vérifié"
"Website Store Must be checked","Le site web du magasin doit être vérifié"
"Websites","Site web"
"What's this?","Qu'est-ce ?"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Afficher ""Toutes"" les options dans la liste déroulante ""Afficher x par page""."
"Will make search for the query above return results for this search.","Effectuera une recherche pour la question ci-dessus et reviendra aux résultats de cette recherche."
"Wrong BuyRequest instance in options group.","Mauvaise instance de Buyrequest dans le groupe d'options."
"Wrong configuration item instance in options group.","Configuration de l'instance d'objet incorrecte dans les options de groupe"
"Wrong configuration item option instance in options group.","Configuration de l'instance d'objet incorrecte dans les options de groupe"
"Wrong option instance type in options group.","Mauvaise instance d'options dans le groupe d'options."
"Wrong option type to get group instance.","Mauvais type d'option pour obtenir l'instance du groupe."
"Wrong product instance type in options group.","Mauvais type de produit d'exemple dans le groupe d'options."
"Wrong product type filter specified","Mauvais filtre de type de produit spécifié"
"Wrong product type to extract configurable options.","Mauvais type de produit pour extraire des options configurables."
"Year Range","Années"
"Yes","Oui"
"You cannot remove system attribute from this set.","Vous ne pouvez pas retirer d'attribut système de cet ensemble."
"You have no items to compare.","Vous n'avez pas d'articles à comparer."
"You may also be interested in the following product(s)","Vous pourriez aussi être intéressé(e) par le(s) produit(s) suivant(s)"
"Zoom In","Zoom avant"
"Zoom Out","Zoom Arrière"
"and","et"
"and above","et ci-dessus"
"categories","catégories"
"each","chaque"
"ex. http://domain.com","ex. http://domain.com"
"leave blank if its not an image","laisser vide si ce n'est pas une image"
"per page","par page"
"products","produits"
"px.","px."
"save","enregistrer"
"select all","sélectionner tous"
"unselect all","désélectionner tous"
"x","x"
