"-OR-","-または-"
"Would you like to sign a billing agreement to streamline further purchases with PayPal?","PayPalで効果的な追加購買のために、支払承諾に申込しませんか？"
"Wrong Order ID (%s) specified.","Wrong Order ID (%s) specified."
"Wrong PayPal Express Checkout Token specified.","不正なPayPalエキスプレス・チェックアウトトークンです"
"Yes","Yes"
"Yes. Matched Address and five-didgit ZIP","はい、５桁の郵便番号と住所が合致"
"You cannot void a verification transaction","You cannot void a verification transaction"
"You will be redirected to the PayPal website in a few seconds.","数秒後にPayPalのサイトにリダイレクトします。"
"You will be redirected to the PayPal website when you place an order.","発注後PayPalウェブサイトに切り替わります"
"You will be redirected to the PayPal website.","PayPalウェブサイトに切り替わります"
"You will be required to enter your payment details after you place an order.","ご注文の確定後にお支払情報の詳細をご入力していただく必要があります。"
"Zip/Postal Code","郵便番号"
"chargeback reimbursed","chargeback reimbursed"
"chargeback settled","chargeback settled"
"customer complaint","customer complaint"
"customer triggered a chargeback","customer triggered a chargeback"
"customer triggered money-back guarantee","customer triggered money-back guarantee"
"eBay Auction Payment","eBayオークション支払い"
"merchant refunded payment","merchant refunded payment"
"no reason","no reason"
"reversal of an adjustment","reversal of an adjustment"
"unknown reason","unknown reason"
