"-OR-","-OU-"
"Transfer Cart Line Items","Itens de Linha de Carrinho de Transferência"
"Transfer Shipping Options","Opções de Envio de Transferência"
"Triggered Fraud Filters","Desencadeados Filtros de Fraude"
"Unable to cancel Express Checkout.","Impossível cancelar Fechamento de Pedido Expresso."
"Unable to change status. Current status is not correspond to real status.","Incapaz de mudar de status. Situação atual não corresponde ao estado real."
"Unable to communicate with the PayPal gateway.","Incapaz de se comunicar com o portal PayPal."
"Unable to initialize Express Checkout review.","Impossível iniciar revisão do Fechamento de Pedido Expresso."
"Unable to initialize Express Checkout.","Não é possível inicializar o Checkout Expresso."
"Unable to place the order.","Impossível realizar o pedido."
"Unable to process Express Checkout approval.","Impossível processar aprovação para Fechamento Expresso de Pedido."
"Unable to start Express Checkout.","Impossível iniciar Fechamento Expresso de Pedido."
"Unable to update Order data.","Incapaz de atualizar dados do Pedido."
"Unable to update shipping method.","Impossível atualizar tipo de frete."
"Unknown Error. Please try again later.","Erro Desconhecido. Por favor tente novamente mais tarde."
"Unknown reason. Please contact PayPal customer service.","Motivo desconhecido. Favor contactar o atendimento a clientes do PayPal."
"Update Order Data","Atualizar Dados do Pedido"
"Use Proxy","Usar Proxy"
"Use colon to specify port. For example: ""test.example.com:5224"".","Usar dois-pontos para especificar porta. Por ex.: ""teste.exemplo.com:5224""."
"User","Usuário"
"User-initiated Currency Conversion","Conversão de Moeda por Iniciativa do Usuário"
"Uses store frontend name by default.","Usa por padrão o nome do servidor front-end da loja."
"VAT Number","Número VAT"
"Vendor","Vendedor"
"Vendor / Merchant Login","Login de vendedor / comerciante"
"View","Ver"
"View Demo","Visualizar Demonstração"
"View PayPal solutions.","Visualizar soluções PayPal."
"View Transaction","Visualizar Transação"
"View Transaction Details","Visualizar Detalhes da Transação."
"Virtual PayPal Debit Card Transaction","Transação via Cartão de Débito Virtual PayPal"
"Virtual Terminal Payment","Pagamento via Terminal Virtual"
"Void","Anular"
"Waiting until Customer\'s eCheck will be cleared.","Aguardando eCheck do Cliente ser liberado."
"We prefer PayPal (150 X 40)","Preferimos PayPal (150 x 40)"
"We prefer PayPal (150 X 60)","Preferimos PayPal (150 x 60)"
"Website Payments Plus","Website Payments Plus"
"Website Payments Plus Settings","Configurações do Website Payments Plus"
"Website Payments Pro","Website Payments Pro"
"Website Payments Pro (Payflow Edition) Settings","Configurações do Website Payments Pro (Edição Payflow)"
"Website Payments Pro Hosted Solution","Website Payments Pro Hosted Solution"
"Website Payments Pro Hosted Solution Settings","Configurações do Website Payments Pro Hosted Solution"
"Website Payments Pro Payflow Edition (includes Express Checkout)","Edição Payflow de Pagamentos de Site Pro (inclui o Checkout Expresso)"
"Website Payments Pro Settings","Configurações de Pagamentos de Site Pro"
"Website Payments Standard","Pagamentos de Site Padrão"
"Website Payments Standard Payment","Pagamento de Pagamentos de Site Padrão"
"Website Payments Standard Settings","Configurações de Pagamentos de Site Padrão"
"What is PayPal?","O que é o PayPal?"
"Whether to create a billing agreement, if there are no active billing agreements available.","Se deseja criar um acordo de faturamento, se não houver acordos de faturamento ativos disponíveis."
"Will appear as a payment option only for customers who have at least one active billing agreement.","Aparecerá como uma opção de pagamento apenas para os clientes que têm pelo menos um acordo de faturamento ativo."
"WorldLink Withdrawal","Levantamento WorldLink"
"Would you like to sign a billing agreement to streamline further purchases with PayPal?","Gostaria de assinar um acordo de faturamento para agilizar ainda mais compras posteriores com o PayPal?"
"Wrong Order ID (%s) specified.","ID (%s) especificado da Ordem Errado ."
"Wrong PayPal Express Checkout Token specified.","Token errado p/ Fechamento Expresso de Pedido pelo PayPal."
"Yes","Sim"
"Yes. Matched Address and five-didgit ZIP","Sim. Endereço Correspondente e ZIP de cinco dígitos"
"You cannot void a verification transaction","Não é possível anular uma transação de verificação"
"You will be redirected to the PayPal website in a few seconds.","Você será redirecionado para a página do PayPal em alguns segundos."
"You will be redirected to the PayPal website when you place an order.","Você será redirecionado para o site PayPal quando você colocar uma ordem."
"You will be redirected to the PayPal website.","Você será redirecionado para o site PayPal."
"You will be required to enter your payment details after you place an order.","Você será obrigado a inserir seus detalhes de pagamento depois de colocar uma ordem."
"Zip/Postal Code","Zip/Código Postal"
"chargeback reimbursed","cobrança retroativa reembolsada"
"chargeback settled","cobrança retroativa resolvida"
"customer complaint","reclamação do cliente"
"customer triggered a chargeback","cliente provocou um cobrança retroativa"
"customer triggered money-back guarantee","cliente desencadeou garantia de reembolso"
"eBay Auction Payment","Pagamento do Leilão eBay"
"merchant refunded payment","pagamento do comerciante reembolsado"
"no reason","nenhuma razão"
"reversal of an adjustment","reversão de um ajuste"
"unknown reason","razão desconhecida"
