"-OR-","-O-"
"This operation requires an existing transaction object.","Esta operación requiere de una transacción ya existente."
"Time of Day","Hora del Día"
"Title","Título"
"Transaction ID","Número de identificación de la transacción"
"Transaction ID must not be empty.","El número identificativo de la transacción debe completarse."
"Transaction Information","Información de Transacción"
"Transfer Cart Line Items","Transferir la línea de los artículos en el carrito"
"Transfer Shipping Options","Transferir las opciones de envío"
"Triggered Fraud Filters","Filtros de Fraude Desencadenados"
"Unable to cancel Express Checkout.","No se ha podido cancelar la Salida Express."
"Unable to change status. Current status is not correspond to real status.","No se puede cambiar el estado. El estado actual no se corresponde con el estado real."
"Unable to communicate with the PayPal gateway.","No ha sido posible comunicarse con el gateway de PayPal."
"Unable to initialize Express Checkout review.","No se ha podido iniciar la revisión de Salida Express."
"Unable to initialize Express Checkout.","No ha sido posible inicializar el Pago Express."
"Unable to place the order.","No se puede efectuar el pedido."
"Unable to process Express Checkout approval.","No se ha podido procesar la aprobación de Salida Express."
"Unable to start Express Checkout.","No se ha podido iniciar la Salida Express."
"Unable to update Order data.","No es posible actualizar la información del pedido."
"Unable to update shipping method.","No se ha podido actualizar el método de envío."
"Unknown Error. Please try again later.","Error desconocido. Por favor inténtalo más tarde."
"Unknown reason. Please contact PayPal customer service.","Razones desconocidas. Por favor, contacte el servicio de atención al cliente de PayPal."
"Update Order Data","Actualizar información del pedido"
"Use Proxy","Utilizar Proxy"
"Use colon to specify port. For example: ""test.example.com:5224"".","Utilice dos puntos para especificar el puerto. Por ejemplo: ""prueba.ejemplo.com:5224""."
"User","Usuario"
"User-initiated Currency Conversion","Conversión de moneda iniciada por el usuario"
"Uses store frontend name by default.","De forma predeterminada utiliza el nombre de la tienda de interfaz de usuario"
"VAT Number","Número de IVA"
"Vendor","Vendedor"
"Vendor / Merchant Login","Inicio de sesión  para proveedores / comerciantes"
"View","Ver"
"View Demo","Vea la demostración"
"View PayPal solutions.","Ver soluciones de PayPal"
"View Transaction","Ver transacción"
"View Transaction Details","Ver Detalles de la Transacción"
"Virtual PayPal Debit Card Transaction","Transacción de Tarjeta de Débito de PayPal Virtual"
"Virtual Terminal Payment","Pago Terminal virtual"
"Void","Nulo"
"Waiting until Customer\'s eCheck will be cleared.","En espera hasta que se produzca la compensación del Cheque Electrónico del Cliente"
"We prefer PayPal (150 X 40)","Preferimos PayPal (150 X 40)"
"We prefer PayPal (150 X 60)","Preferimos PayPal (150 X 60)"
"Website Payments Plus","Pagos Web Plus"
"Website Payments Plus Settings","Configuración de Pagos Web Plus"
"Website Payments Pro","Website Payments Pro"
"Website Payments Pro (Payflow Edition) Settings","Configuración de Website Payments Pro (Payflow Edition)"
"Website Payments Pro Hosted Solution","Solución Hospedada de Pagos Web Pro"
"Website Payments Pro Hosted Solution Settings","Configuración de Solución Hospedada de Pagos Web Pro"
"Website Payments Pro Payflow Edition (includes Express Checkout)","Website Payments Pro Payflow Edition (incluye Pago Express)"
"Website Payments Pro Settings","Configuración de Website Payments Pro"
"Website Payments Standard","Pago Estándar en el Sitio Web"
"Website Payments Standard Payment","Pago estándar de la página web"
"Website Payments Standard Settings","Configuración de Pago Estándar en el Sitio Web"
"What is PayPal?","¿Qué es PayPal?"
"Whether to create a billing agreement, if there are no active billing agreements available.","Opción de creación de un contrato de facturación, si no hay contratos de facturación activos disponibles."
"Will appear as a payment option only for customers who have at least one active billing agreement.","Aparecerá como una opción de pago solamente para clientes que tengan al menos un contrato de facturación activo."
"WorldLink Withdrawal","Retirada de Fondos WorldLink"
"Would you like to sign a billing agreement to streamline further purchases with PayPal?","¿Le gustaría firmar un contrato de facturación para agilizar sus futuras compras con PayPal?"
"Wrong Order ID (%s) specified.","Se especificó un Identificador de Pedido Erróneo (%s)."
"Wrong PayPal Express Checkout Token specified.","Símbolo especificado de Salida Express con Paypal incorrecto."
"Yes","Sí"
"Yes. Matched Address and five-didgit ZIP","Sí. La Dirección y el Código Postal de cinco dígitos coinciden."
"You cannot void a verification transaction","No se puede anular una operación de comprobación"
"You will be redirected to the PayPal website in a few seconds.","Volverá a la página web de Paypal en unos segundos."
"You will be redirected to the PayPal website when you place an order.","Cuando realice el pedido se le devolverá a la página PayPal."
"You will be redirected to the PayPal website.","Se le redirigirá al sitio web de PayPal."
"You will be required to enter your payment details after you place an order.","Se le solicitará que introduzca los detalles del pago tras realizar el pedido."
"Zip/Postal Code","Código postal"
"chargeback reimbursed","Devolución del cargo reembolsada"
"chargeback settled","Devolución del cargo liquidada"
"customer complaint","reclamación de cliente"
"customer triggered a chargeback","El cliente ha solicitado un reembolso"
"customer triggered money-back guarantee","el cliente activó una garantía de devolución del dinero"
"eBay Auction Payment","Pago de Subasta de eBay"
"merchant refunded payment","el comerciante ha reembolsado el pago"
"no reason","No existen razones"
"reversal of an adjustment","revocación de un ajuste"
"unknown reason","Razones desconocidas"
