"-OR-","-OF-"
"The payment is pending because it was made to an email address that is not yet registered or confirmed.","De betaling staat in de wacht omdat deze aangemaakt is met een emailadres dat nog niet geregistreerd of bevestigd is."
"The payment is pending while it is being reviewed by PayPal for risk.","De betaling staat in de wacht, terwijl deze beoordeeld wordt op risico door PayPal."
"The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status.","De betaling werd gemaakt via creditcard. Om de gelden te ontvangen, moet de handelaar de account upgraden naar Business of Premier status."
"There was an error processing your order. Please contact us or try again later.","Er heeft zich een fout voorgedaan bij het verwerken van uw bestelling. Neem alstublieft contact met ons op of probeer het later opnieuw."
"This feature needs be enabled first for the merchant account through PayPal technical support.","Deze functie moet eerst worden ingeschakeld voor de merchant account via PayPal technische ondersteuning."
"This operation requires an existing transaction object.","Deze operatie vereist een bestaand transactie object."
"Time of Day","Tijd van de Dag"
"Title","Titel"
"Transaction ID","Transactie ID"
"Transaction ID must not be empty.","Transactie-ID mag niet leeg zijn."
"Transaction Information","Transactie Informatie"
"Transfer Cart Line Items","Plaats Winkelwagentje Posten Over"
"Transfer Shipping Options","Plaats Verzendingsopties Over"
"Triggered Fraud Filters","Fraudeur Filters Getriggerd"
"Unable to cancel Express Checkout.","Onmogelijk om Express Checkout te annuleren."
"Unable to change status. Current status is not correspond to real status.","Kon status niet veranderen. Huidige status correspondeert niet met werkelijke status."
"Unable to communicate with the PayPal gateway.","Kan niet communiceren met de PayPal gateway."
"Unable to initialize Express Checkout review.","Onmogelijk om Express Checkout terug te zien."
"Unable to initialize Express Checkout.","Kan Expres Afrekenen niet initialiseren."
"Unable to place the order.","Kan bestelling niet plaatsen."
"Unable to process Express Checkout approval.","Niet mogelijk om Express Checkout door het validatie te halen."
"Unable to start Express Checkout.","Onmogelijk om Express Checkout te beginnen"
"Unable to update Order data.","Kan Bestel gegevens niet bijwerken."
"Unable to update shipping method.","Niet in staat om de versturingsmethode de updaten."
"Unknown Error. Please try again later.","Onbekende fout. Probeer het later opnieuw."
"Unknown reason. Please contact PayPal customer service.","Onbekende oorzaak. Neem alstublieft contact op met de klantendienst van PayPal."
"Update Order Data","Update Bestel Gegevens"
"Use Proxy","Proxy gebruiken"
"Use colon to specify port. For example: ""test.example.com:5224"".","Gebruik een dubbelepunt om de poort te specificeren. Bijvoorbeeld: ""test.voorbeeld.com:5224""."
"User","Gebruiker"
"User-initiated Currency Conversion","Gebruiker-geïnitieerde munteenheid conversie"
"Uses store frontend name by default.","Gebruikt standaard de frontend naam van de winkel"
"VAT Number","BTW nummer"
"Vendor","Verkoper"
"Vendor / Merchant Login","Verkoper / Handelaar Login"
"View","Bekijk"
"View Demo","Bekijk Demo"
"View PayPal solutions.","Bekijk PayPal oplossingen"
"View Transaction","Transactie bekijken"
"View Transaction Details","Bekijk Transactie Details"
"Virtual PayPal Debit Card Transaction","Virtuele Paypal Debitcard Transactie"
"Virtual Terminal Payment","Virtuele Laatste Betaling"
"Void","Geldig"
"Waiting until Customer\'s eCheck will be cleared.","Wachten tot Klant\'s eCheck wordt vrijgegeven."
"We prefer PayPal (150 X 40)","PayPal heeft onze voorkeur (150 X 40)"
"We prefer PayPal (150 X 60)","Paypal heeft onze voorkeur (150 X 60)"
"Website Payments Plus","Website betalingen plus"
"Website Payments Plus Settings","Website betalingen plus instellingen"
"Website Payments Pro","Website Betalingen Pro"
"Website Payments Pro (Payflow Edition) Settings","Website Betalingen Pro (Betaalstroom Editie) Instellingen"
"Website Payments Pro Hosted Solution","Website betalingen professioneel gehoste oplossing"
"Website Payments Pro Hosted Solution Settings","Website betalingen professioneel gehoste oplossing instellingen"
"Website Payments Pro Payflow Edition (includes Express Checkout)","Website Betalingen Pro Payflow Editie (Inclusief Express Checkout)"
"Website Payments Pro Settings","Website Betalingen Pro Instellingen"
"Website Payments Standard","Website Betalingen Standaard"
"Website Payments Standard Payment","Website Betalingen Standaard Betaling"
"Website Payments Standard Settings","Website Betalingen Standaard Instellingen"
"What is PayPal?","Wat is PayPal?"
"Whether to create a billing agreement, if there are no active billing agreements available.","Of er een facturatieovereenkomst aangemaakt moet worden als er geen actieve facturatieovereenkomsten beschikbaar zijn."
"Will appear as a payment option only for customers who have at least one active billing agreement.","Zal verschijnen als betaling optie voor klanten die tenminste een actieve facturatieovereenkomst hebben."
"WorldLink Withdrawal","WorldLink Opname"
"Would you like to sign a billing agreement to streamline further purchases with PayPal?","Zou u graag een facturatieovereenkomst willen ondertekenen voor een betere integratie met PayPal?"
"Wrong Order ID (%s) specified.","Verkeerde Bestelling ID (%s) gespecificeerd."
"Wrong PayPal Express Checkout Token specified.","Verkeerde PayPal Express Checkout Token gekozen."
"Yes","Ja"
"Yes. Matched Address and five-didgit ZIP","Ja. Het adres en de 5-cijferige ZIP code komen overeen"
"You cannot void a verification transaction","U kunt een verificatie-transactie niet nietig verklaren"
"You will be redirected to the PayPal website in a few seconds.","U zult binnen enkele seconden naar de PayPal website worden geleid."
"You will be redirected to the PayPal website when you place an order.","U wordt door verwezen naar de PayPal website wanneer u een bestelling plaatst."
"You will be redirected to the PayPal website.","U zult doorverwezen worden naar de PayPal website."
"You will be required to enter your payment details after you place an order.","U zult uw betalingsdetails moeten invoeren na het plaatsen van een bestelling."
"Zip/Postal Code","Zip/Postcode"
"chargeback reimbursed","terugbetaling uitgekeerd"
"chargeback settled","Terugboeking geregeld"
"customer complaint","klacht van klant"
"customer triggered a chargeback","klant heeft een terugbetaling aangevraagd"
"customer triggered money-back guarantee","klant heeft geld-terug garantie aangevraagd"
"eBay Auction Payment","eBay veiling betaling"
"merchant refunded payment","handelaar heeft de betaling teruggeboekt"
"no reason","geen reden"
"reversal of an adjustment","omkering van aanpassing"
"unknown reason","onbekende reden"
