"# of Use","# de uso"
"%1$s incl tax.","%1$s con impuestos incluidos."
"%s - %s","%s - %s"
"%s Item(s)","%s artículo(s)"
"Watermark","Marca de agua"
"Watermark Opacity, Percent","Opacidad de la marca de agua, porcentaje"
"Watermark Position","Posición de la marca de agua"
"Website Item Must be checked","Debe controlarse el artículo del sitio web"
"What's this?","¿Qué es esto?"
"Wrong BuyRequest instance in options group.","Instancia incorrecta de BuyRequest en el grupo de opciones."
"Wrong configuration item instance in options group.","Configuración de ejemplo de artículo incorrecta en el grupo de opciones."
"Wrong option instance type in options group.","Instancia de opción incorrecta en el grupo de opciones."
"Wrong product type filter specified","Se especificó un filtro de tipo de producto incorrecto"
"Yes","Sí"
"You cannot remove system attribute from this set.","No es posible eliminar atributos del sistema de este conjunto."
"You may also be interested in the following product(s)","Te podría(n) interesar también el/los siguiente(s) producto(s)"
"Zoom In","Acercar"
"[GLOBAL]","[GLOBAL]"
"each","cada"
"ex. http://domain.com","por ejemplo, http:/dominio.com"
"per page","por página"
"px.","px."
"save","guardar"
"select all","seleccionar todo"
"x","x"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Se especificó una opción de atributo no válida para el atributo %s (%s). Se omitirá el registro."
"Invalid block: %s.","Bloque no válido: %s."
"Invalid category IDs.","ID de categoría no válidos."
"Invalid tier prices. The product is not associated to the requested website.","Precios de capa no válidos. El producto no está asociado con el sitio web solicitado."
"Is Default","Es Por Defecto"
"Is Required","Es Requerido"
"Items %s to %s of %s total","Elementos %s a %s de un total de %s"
"Keep your eyes open for our special Back to School items and save A LOT!","Esté atento a nuestros artículos especiales para el comienzo de clases y AHORRE."
"Label","Etiqueta"
"Line %d, SKU: %s","Línea %d, código de artículo (SKU): %s"
"Link (Related, Up sell, Cross sell)","Enlace (relacionado, venta adicional, venta cruzada)"
"Manage Attribute Sets","Administrar conjuntos de atributos"
"Manage Catalog Categories","Administrar categorías de catálogos"
"Manage Categories","Administrar categorías"
"Manage Products","Administrar productos"
"Max Characters","Cant. máxima de caracteres"
"Maximum Image Size","Tamaño máximo de imagen"
"Minimum Advertised Price","Precio mínimo anunciado"
"Minimum Qty Allowed in Shopping Cart","Cantidad Mínima Permitida en el Carro de la Compra"
"Missing SKU, skipping the record.","Falta el código de producto (SKU). Se omitirá el registro."
"More Views","Más vistas"
"Move","Mover"
"Move category in tree","Mover la categoría en la estructura jerárquica"
"Must be in the allowed values list.","Debe estar en la lista de valores permitidos."
"N/A","N/A"
"Name","Nombre"
"New Products List Template","Plantilla de lista de nuevos productos"
"New Root Category","Nueva Categoría Raíz"
"New Search","Nueva búsqueda"
"New Subcategory","Nueva Subcategoría"
"Next","Siguiente"
"Notify Low Stock RSS","RSS de notificación de bajas cantidades en inventario"
"Notify for Quantity Below","Notificar cuando la Cantidad sea Inferior a"
"Number of Products to Display","Cantidad de productos que se muestran"
"Number of Uses","Número de Usos"
"Number of results<br/>(For the last time placed)","Cantidad de resultados<br/>(Para el último pedido)"
"OR","O BIEN"
"On Gesture","Sobre el gesto"
"Options Control","Control de opciones"
"Options is required","Es obligatorio definir las opciones"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Nuestro departamento de servicio al cliente está disponible todos los días, las 24 horas. Llámenos al teléfono (555) 555-0123."
"Out of Stock","Agotado"
"Out of stock","Sin existencias"
"Parent Category","Categoría principal"
"Pending","Pendiente"
"Pending Reviews RSS","RSS de reseñas pendientes"
"Please add rows to option.","Por favor, añadir filas a la opción."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Tenga en cuenta que al hacer clic en la fila se cargarán los datos de paquete del archivo seleccionado, y se perderán todos los datos del formulario que no se hayan guardado."
"Please enter a new group name","Ingrese un nuevo nombre de grupo"
"Please specify the product\'s option(s).","Especifique las opciones del producto."
"Please specify the product\'s required option(s).","Especifique las opciones obligatorias del producto."
"Please wait...","Por favor, espera..."
"Position","Posición"
"Position in Layered Navigation","Posición de navegación en capas"
"Prev","Anterior"
"Price Navigation Step Calculation","Cálculo de paso de navegación de precios"
"Price is not available","Precio no disponible"
"Price: %s","Precio: %s"
"Product","Producto"
"Product Alerts","Alertas de Producto"
"Product Categories","Categorías de Producto"
"Product Flat Data","Datos Fijos de Producto"
"Product Image Placeholders","Marcadores de Posición de Imagen de Producto"
"Product Image Watermarks","Marcas de Agua de Imagen de Producto"
"Product Images","Imágenes de Producto"
"Product Info Column","Columna de Información de Producto"
"Product Listing Sort by","Listado de Productos Ordenar Por"
"Product Reviews","Opiniones de Producto"
"Product Type","Tipo de Producto"
"Product URL Suffix","Sufijo de URL de Producto"
"Product attribute sets API","API de conjuntos de atributo de producto"
"Product collection expected.","Colección de productos esperada."
"Product links API (related, cross sells, up sells)","API de vínculos de producto (relacionados, ventas cruzadas, ventas incrementadas)"
"Product types API","API de tipos de producto"
"Products","productos"
"Products only","Sólo productos"
"Products per Page on Grid Default Value","Productos por Página en Valor Predeterminado por la Cuadrícula"
"Products per Page on List Allowed Values","Productos por Página en Valores Permitidos por la Lista"
"Properties","Propiedades"
"Qty Increments","Incrementos de Cantidad"
"Qty Uses Decimals","La Cantidad Usa Decimales"
"Qty for Item\'s Status to Become Out of Stock","Cantidad para que el Estado de los Artículos Llegue a Ser Sin Existencias"
"Qty:","Cantidad:"
"Quick Overview","Visión General Rápida"
"Redirect URL","Redirigir URL"
"Related Products","Productos Relacionados"
"Remove","Eliminar"
"Remove product assignment","Eliminar la asignación de producto"
"Remove product link","Eliminar el enlace del producto"
"Reorganize EAV product structure to flat structure","Reorganizar la esctructura de producto EAV a una estructura plana"
"Reset","Restablecer"
"Retrieve attribute data","Recuperar los datos de atributo"
"Retrieve attribute list","Recuperar la lista de atributo"
"Retrieve attribute options","Recuperar las opciones de atributo"
"Retrieve linked products","Recuperar los productos enlazados"
"Retrieve one level of categories by website/store view/parent category","Recuperar un nivel de categorías por sitio de Internet/vista de tienda/categoría matriz"
"Retrieve product","Recuperar producto"
"Retrieve product image list","Recuperar lista de imágenes del producto"
"Retrieve product image types","Recuperar tipos de imágenes de producto"
"Retrieve product tier prices","Recuperar precios de nivel de producto"
"Retrieve products data","Recuperar datos de productos"
"Roll Over for preview","Girar para obtener una vista previa"
"SKU","Número de referencia"
"Save","guardar"
"Save Attribute Set","Guardar Ajuste de Atributos"
"Save Search","Guardar Búsqueda"
"Search Query","Query de Búsqueda"
"Search Term with such search query already exists.","Ya existe un término de búsqueda con esa consulta."
"Search Weight","Valor de la búsqueda"
"See price before order confirmation.","Ver precio antes de la confirmación del pedido."
"Select Product...","Seleccionar producto..."
"Selected Product Types","Tipos de productos seleccionados"
"Send Count","Cantidad de envíos"
"Set Ascending Direction","Establecer dirección ascendente"
"Set Descending Direction","Establecer dirección descendente"
"Set Name","Establecer nombre"
"Set root category for this store in the <a href=""%s"">configuration</a>","Programar una categoría raíz de esta tienda en la <a href=""%s"">configuración</a>"
"Set/Get current store view","Establecer/abrir vista actual de la tienda"
"Shopping Options","Opciones de compra"
"Show","Mostrar"
"Show Details","Mostrar detalles"
"Simple Product","Producto simple"
"Sitemap","Mapa de sitio"
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.","Omitir la fila de importación, el valor ""%s"" no es válido para el campo ""%s""."
"Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.","Algunos de los productos procesados no tienen un valor SKU definido. Por favor, rellénalo antes de operar con esos productos."
"Sort Order","Ordenar Pedido"
"Special Price:","Precio especial:"
"Starting at:","Inicio:"
"Static","Estático"
"Store","Tienda"
"Stretch","Flexibilidad"
"Super product attributes configuration","Configuración de atributos de producto superior"
"System Properties","Propiedades del sistema"
"Tax","Impuestos"
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module","El módulo de Catálogo de Planos tiene un límite de %2\$d atributos filtrables y ordenables. Actualmente hay %1\$d de ellos. Por favor, reduce el número de atributos filtrables/ordenables para poder usar este módulo"
"The base directory to upload file is not specified.","El directorio base para cargar el archivo no ha sido especificado."
"The category has been saved.","Se guardó la categoría."
"The comparison list was cleared.","Se borró la lista de comparación."
"The file you uploaded is larger than %s Megabytes allowed by server","El archivo que has subido es más grande de % Megabytes admitidos por el servidor."
"The model collection resource name is not defined.","El nombre del recurso de la colección de modelos no está definido."
"The product %s has been removed from comparison list.","Se eliminó el producto %s de la lista de comparación."
"The product has been created.","Se creó el producto."
"The product has required options","El producto tiene opciones obligatorias"
"There are no customers for this alert","No hay clientes para esta alerta"
"This attribute cannot be edited.","No puede editarse este atributo."
"This attribute cannot be updated.","No puede actualizarse este atributo."
"This attribute no longer exists","Este atributo ya no existe."
"This attribute set no longer exists.","Este conjunto de atributos ya no existe."
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Este grupo contiene atributos utilizados en productos configurables. Páselos a otro grupo y vuelva a intentarlo."
"This group contains system attributes. Please move system attributes to another group and try again.","Este grupo contiene atributos del sistema. Pase los atributos del sistema a otro grupo y vuelva a intentarlo."
"This product no longer exists.","Este producto ya no existe."
"Tile","Mosaico"
"Title","Título"
"To see product price, add this item to your cart. You can always remove it later.","Para ver el precio del producto añade este artículo al carrito. Siempre puedes eliminarlo posteriormente."
"Top/Right","Superior/derecha"
"Total of %d record(s) have been deleted.","Total de % registrado se ha eliminado."
"Total of %d record(s) have been updated.","Se actualizó un total de %d registro(s)."
"Type","Tipo"
"Unable to find an attribute to delete.","No se puede encontrar un atributo para eliminar."
"Unassigned Attributes","Atributos sin asignar"
"Unknown EAV indexer type ""%s"".","Tipo de indexador EAV desconocido ""%s""."
"Unsupported product type ""%s"".","Tipo de producto no compatible ""%s""."
"Update Attributes","Actualizar atributos"
"Update assigned product","Actualizar producto asignado"
"Update product image","Actualizar imagen de producto"
"Update product link","Actualizar enlace de producto"
"Update product tier prices","Actualizar precios de capa de productos"
"Url Rewrite Management","Gestionar reescritura Url"
"Use Canonical Link Meta Tag For Products","Utilizar metaetiqueta de enlace canónico para productos"
"Use Config Settings","Usar Opciones de Configuración"
"Use In Search Results Layered Navigation","Utilizar en navegación en capas de resultados de búsqueda"
"Use Static URLs for Media Content in WYSIWYG for Catalog","Utilizar direcciones URL estáticas para contenido multimedia en formato WYSIWYG"
"Use default","Uso por defecto"
"Use for Promo Rule Conditions","Utilizar para condiciones de reglas de promoción"
"Use in Advanced Search","Utilizar en búsqueda avanzada"
"Use in Layered Navigation","Usar en navegación por capas"
"Use in Quick Search","Utilizar en búsqueda rápida"
"Used for Sorting in Product Listing","Se utiliza para ordenar las listas de productos"
"Value for ""%s"" is invalid.","El valor para ""%s"" es inválido."
"View as","Ver como"
"Visibility","Visibilidad"
"Visible on Catalog Pages on Front-end","Visible en páginas de catálogo en la vista del cliente"
"WYSIWYG Editor","Editor WYSIWYG"
"Watermark Default Size","Tamaño predeterminado de la marca de agua"
"Website","Sitio web"
"Website Store Must be checked","Debe controlarse la tienda del sitio web"
"Websites","Páginas web"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Preguntar si mostrar ""Todas"" las opciones en el desplegable ""Mostrar X por página""."
"Wrong configuration item option instance in options group.","Configuración de ejemplo de opción de artículo incorrecta en el grupo de opciones."
"Wrong option type to get group instance.","Tipo de opción incorrecto en el grupo de opciones."
"Wrong product instance type in options group.","Instancia de producto incorrecta en el grupo de opciones."
"Wrong product type to extract configurable options.","Tipo de producto incorrecto para extraer opciones configurables."
"Year Range","Rango de años"
"You have no items to compare.","No tiene artículos para comparar."
"Zoom Out","Alejar"
"and","y"
"categories","categorías"
"leave blank if its not an image","dejar en blanco si no es una imagen"
"products","productos"
"unselect all","Deseleccionar todo"
"Customize and Add to Cart","Personalizar y añadir al carrito"
