"-OR-","-oder-"
"Subtotal","Zwischensumme"
"Summary Text for Aggregated Cart","Zusammenfassung des gesamten Korbs"
"Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","Für die Unterstützung von American Express Karten ist eine gesonderte Vereinbarung erforderlich. Erfahren Sie mehr unter at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"Switch/Maestro","Switch/ Maestro"
"Telephone","Telefon"
"Test Mode","Testmodus"
"The background color for the checkout page around the header and payment form.","Die Hintergrundfarbe für die Checkout-Seite, um die Überschrift und Zahlungsart herum."
"The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII.","Die Hintergrundfarbe für die Kopfzeile der Abmeldeseite. Groβ- und Kleinschreibung sechs Buchstaben HTML hexadezimal farbcode in ASII."
"The default number of child authorizations in your PayPal account is 1. To do multiple authorizations please contact PayPal to request an increase.","Die Standardeinstellung für Kinder-Autorisationen in Ihrem Paypal-Konto ist 1. Für mehrfache Autorisationen kontaktieren Sie bitte PayPal und bitten Sie um Erweiterung."
"The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=""color:red"">https</strong> is highly encouraged.","Das Bild oben links auf der Checkout-Seite. Max. Größe 750 x 90 Pixel. <strong style=""color:red"">https</strong> wird dringend empfohlen."
"The maximum number of child authorizations is reached.","Die maximal mögliche Anzahl an Kinder-Autorisationen ist erreicht."
"The merchant account is not yet verified.","Das Händlerkonto wurde noch nicht verifiziert."
"The payment curency does not match any of the merchant\'s balances currency.","Die Währung der Zahlung stimmt mit keiner der Währungen des Kontos des Händlers überein."
"The payment eCheck is not yet cleared.","Zahlung per eCheck ist noch nicht vereinbart."
"The payment is authorized but not settled.","Die Zahlung wurde autorisiert aber noch nicht ausgeführt."
"The payment is pending because it was made to an email address that is not yet registered or confirmed.","Die Zahlung steht noch aus, da sie an eine Email-Adresse versandt wurde, die weder registriert noch bestätigt ist."
"The payment is pending while it is being reviewed by PayPal for risk.","Zahlung steht noch aus und wird von PayPal auf Risiken geprüft."
"The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status.","Die Zahlung wurde mit Kreditkarte getätigt. Damit der Händler Zahlungen erhalten kann, muss er sein Konto auf Business- oder Premiumstatus upgraden."
"There was an error processing your order. Please contact us or try again later.","Bei der Bearbeitung Ihrer Bestellung ist ein Fehler aufgetreten. Bitte kontaktieren Sie uns oder versuchen Sie es später noch einmal."
"This feature needs be enabled first for the merchant account through PayPal technical support.","Diese Funktion muss zunächst  für das Händlerkonto vom Technischen Support von Paypal aktiviert werden."
"This operation requires an existing transaction object.","Dieser Vorgang erfordert einen bestehenden Transaktionsgegenstand."
"Time of Day","Tageszeit"
"Title","Titel"
"Transaction ID","TransaktionsID"
"Transaction ID must not be empty.","ID der Transaktion darf nicht leer sein."
"Transaction Information","Überweisungs-Informationen"
"Transfer Cart Line Items","Einkaufswagen-Rechnungsposten transferieren"
"Transfer Shipping Options","Überweisung Versand Optionen"
"Triggered Fraud Filters","Ausgelöste Betrugsfilter"
"Unable to cancel Express Checkout.","Express-Checkout kann nicht abgebrochen werden."
"Unable to change status. Current status is not correspond to real status.","Status kann nicht geändert werden. Der aktuelle Status entspricht nicht dem tatsächlichen Status."
"Unable to communicate with the PayPal gateway.","Es kann keine Verbindung zum PayPal Gatway aufgenommen werden."
"Unable to initialize Express Checkout review.","Express-Checkout Überprüfung kann nicht initialisiert werden."
"Unable to initialize Express Checkout.","Express Abmeldung kann nicht initialisiert werden."
"Unable to place the order.","Bestellung konnte nicht aufgegeben werden."
"Unable to process Express Checkout approval.","Express-Checkout Genehmigung konnte nicht bearbeitet werden."
"Unable to start Express Checkout.","Express-Checkout konnte nicht gestartet werden."
"Unable to update Order data.","Bestellinformation konnte nicht aktualisiert werden."
"Unable to update shipping method.","Die Versandmethode konnte nicht aktualisiert werden."
"Unknown Error. Please try again later.","Unbekannter Fehler. Versuchen Sie es später erneut."
"Unknown reason. Please contact PayPal customer service.","Unbekannter Grund. Bitte kontaktieren Sie den PayPal Kundenservice."
"Update Order Data","Bestellinformation aktualisieren"
"Use Proxy","Proxy benutzen"
"Use colon to specify port. For example: ""test.example.com:5224"".","Verwenden Sie einen Doppelpunkt, um den Port festzulegen. Zum Beispiel: ""test.example.com:5224""."
"User","Benutzer"
"User-initiated Currency Conversion","Vom Benutzer ausgelöste Währungsumrechnung"
"Uses store frontend name by default.","Benutzt standardmässig store frontend name."
"VAT Number","MwSt.-Nummer"
"Vendor","Anbieter"
"Vendor / Merchant Login","Verkäufer / Händler-Login"
"View","Ansicht"
"View Demo","Demo anzeigen"
"View PayPal solutions.","PayPal Lösungen zeigen."
"View Transaction","Transaktion anzeigen"
"View Transaction Details","Überweisungsdetails zeigen"
"Virtual PayPal Debit Card Transaction","Virtuelle PayPal Überweisung mit Debitkarte"
"Virtual Terminal Payment","Virtuelles Zahlungsterminal"
"Void","Leer"
"Waiting until Customer\'s eCheck will be cleared.","Warten bis der eCheck des Kunden freigegeben ist."
"We prefer PayPal (150 X 40)","Wir bevorzugen PayPal (150 X 40)"
"We prefer PayPal (150 X 60)","Wir bevorzugen PayPal (150 X 60)"
"Website Payments Plus","Webseite Zahlungen Plus"
"Website Payments Plus Settings","Website Payments Plus Einstellungen"
"Website Payments Pro","Webseite Zahlungen Pro"
"Website Payments Pro (Payflow Edition) Settings","Webseite Zahlung Pro (Payflow Edition) Einstellungen"
"Website Payments Pro Hosted Solution","Website Payments Pro Gehostete Lösung"
"Website Payments Pro Hosted Solution Settings","Website Payments Pro Gehostete Lösung Einstellungen"
"Website Payments Pro Payflow Edition (includes Express Checkout)","Webseite Payments Pro ayflow Edition (mit Express Abmeldung)"
"Website Payments Pro Settings","Webseite Zahlungen Pro Einstellungen"
"Website Payments Standard","Webseite Zahlungen Standard"
"Website Payments Standard Payment","Webseite Zahlungen Standard Zahlung"
"Website Payments Standard Settings","Webseite Zahlungen Standard Einstellungen"
"What is PayPal?","Was ist PayPal?"
"Whether to create a billing agreement, if there are no active billing agreements available.","Ob eine Rechnungsvereinbarung angelegt werden muss, wenn keine aktiven Rechnungsvereinbarungen zur Verfügung stehen."
"Will appear as a payment option only for customers who have at least one active billing agreement.","Erscheint nur für die Kunden als Zahlungsoption, die mindestens eine aktive Rechnungsvereinbarung haben."
"WorldLink Withdrawal","WorldLink Abhebung"
"Would you like to sign a billing agreement to streamline further purchases with PayPal?","Würden Sie gerne eine Rechnungsvereinbarung abschliessen, um zukünftige Käufe mit PayPal zu rationalisieren?"
"Wrong Order ID (%s) specified.","Falsche Bestellnummer (%s) angegeben."
"Wrong PayPal Express Checkout Token specified.","Falscher PayPal Express-Checkout Token eingegeben."
"Yes","Ja"
"Yes. Matched Address and five-didgit ZIP","Ja. Adresse und fünfstellige Postleitzahl stimmen überein."
"You cannot void a verification transaction","Sie können eine Prüfung nicht für ungültig erklären"
"You will be redirected to the PayPal website in a few seconds.","Sie werden in wenigen Sekunden auf die PayPal Website weitergeleitet."
"You will be redirected to the PayPal website when you place an order.","Sie werden zur PayPal-Website weitergeleitet, wenn Sie eine Bestellung aufgeben."
"You will be redirected to the PayPal website.","Sie werden zur PayPal Webseite weitergeleitet."
"You will be required to enter your payment details after you place an order.","Sie werden aufgefordert, Ihre Zahlungsdaten eingeben, nachdem Sie eine Bestellung aufgegeben haben."
"Zip/Postal Code","Postleitzahl"
"chargeback reimbursed","Rücklastschrift erstattet."
"chargeback settled","Rücklastschrift beglichen"
"customer complaint","Kundenreklamation"
"customer triggered a chargeback","Kunde hat eine Rückbuchung veranlasst"
"customer triggered money-back guarantee","Der Kunde leitete eine Geld-zurück-Garantie ein"
"eBay Auction Payment","eBay Auktion Zahlung"
"merchant refunded payment","Händler hat Zahlung erstattet"
"no reason","kein Grund"
"reversal of an adjustment","Storno einer Änderung"
"unknown reason","unbekannter Grund"
