"# of Use","# van Gebruik"
"%1$s incl tax.","%1$s incl. BTW."
"%s - %s","%s - %s"
"%s Item(s)","%s Artikel(en)"
"%s and above","% s en meer"
"Product is not loaded","Produkt is niet geladen"
"Product links API (related, cross sells, up sells)","Product links API (gerelateerd, kruisverkoop, omhoogverkoop)"
"Product name","Productnaam"
"Product types API","Product types API"
"Product with this combination of attributes already associated to configurable.","Product met deze combinatie van attributen is reeds geassocieerd met configureerbaar."
"Products","Producten"
"Products Comparison List","Productvergelijkingslijst"
"Products Information","Producteninformatie"
"Products Reviews","Productrecensies"
"Products Sitemap","Producten sitemap"
"Products only","Producten alleen"
"Products per Page on Grid Allowed Values","Producten per pagina op raamwerk toegestane waardes"
"Products per Page on Grid Default Value","Producten per Pagina op Rooster Standaard Waarde"
"Products per Page on List Allowed Values","Producten per Pagina op Lijst Toegestane Waardes"
"Products per Page on List Default Value","Producten per pagina op lijst standaardwaarde"
"Properties","Eigenschappen"
"Qty","Hoeveelheid"
"Qty Increments","Hoeveelheid Stappen"
"Qty Uses Decimals","Hoeveelheid Gebruikt Decimalen"
"Qty for Item\'s Status to Become Out of Stock","Hoeveelheid voor Status van Items die niet Op Voorraad Zijn"
"Qty:","Hoeveelheid:"
"Quantity","Hoeveelheid"
"Quick Create","Snel aanmaken"
"Quick Overview","Snel Overzicht"
"Quick simple product creation","Snel en eenvoudig een product aanmaken"
"Records for ""","Documentatie voor """
"Redirect","Doorverwijzing"
"Redirect URL","Omleiding URL"
"Regular Price:","Normale prijs:"
"Related Products","Gerelateerde Producten"
"Remove","Verwijderen"
"Remove Product From Websites","Verwijder product van websites"
"Remove This Item","Verwijder Dit Item"
"Remove attribute from attribute set","Verwijder attribuut uit de attribuut reeks"
"Remove attribute set","Verwijder attributen reeks"
"Remove custom option","Verwijder de aangepaste optie"
"Remove group from attribute set","Verwijder groep uit de attributen reeks"
"Remove option","Verwijder optie"
"Remove product assignment","Verwijder product opdracht"
"Remove product image","Verwijder productbeeld"
"Remove product link","Verwijder product link"
"Remove value from custom option","Verwijder de waarde van de aangepaste optie"
"Rename existing group","Geef bestaande groep nieuwe naam"
"Rename group","Geef groep nieuwe naam"
"Reorganize EAV category structure to flat structure","Reorganiseer EAV categoriestructuur naar platte structuur"
"Reorganize EAV product structure to flat structure","Organiseer EAV product structuur naar een platte structuur"
"Reset","Opnieuw"
"Results","Resultaten"
"Retrieve attribute data","Haal attribuut informatie op"
"Retrieve attribute list","Haal attributen lijst op"
"Retrieve attribute options","Haal attributen opties op"
"Retrieve categories tree","Ophalen categorieboom"
"Retrieve category attributes","Ophalen categorieattributen"
"Retrieve category data","Ophalen categoriedata"
"Retrieve hierarchical tree","Ophalen hiërarchische boom"
"Retrieve linked products","Haal gelinkte producten op"
"Retrieve list of assigned products","Ophalen lijst toegewezen producten"
"Retrieve list of option values","Ophalen lijst van optiewaarden"
"Retrieve list of product custom options","Ophalen lijst van aangepaste productopties"
"Retrieve one level of categories by website/store view/parent category","Haal een niveau van categorieën uit de website/winkel zicht/wortel categorie"
"Retrieve option value info","Ophalen optiewaarde info"
"Retrieve product","Haal product op"
"Retrieve product attribute sets","Ophalen productattributensets"
"Retrieve product image","Ophalen productbeeld"
"Retrieve product image list","Haal product afbeelding lijst op"
"Retrieve product image types","Haal product afbeelding types op"
"Retrieve product link type attributes","Ophalen productlink type attributen"
"Retrieve product link types","Ophalen productlink types"
"Retrieve product tier prices","Haal producten van dit niveau prijzen op"
"Retrieve product types","Ophalen producttypes"
"Retrieve products data","Haal product data op"
"Retrieve products list by filters","Ophalen productlijst op filters"
"Reviews","Reviews"
"Roll Over for preview","Beweeg uw muis erover heen voor een voorvertoning"
"Root","Root"
"SKU","SKU"
"SKU length should be %s characters maximum.","SKU lengte moet minimum %s karakters zijn."
"Save","Opslaan"
"Save Attribute","Attribuut opslaan"
"Save Attribute Set","Sla Attributen Set Op"
"Save Category","Categorie opslaan"
"Save Search","Sla Zoekactie Op"
"Save and Continue Edit","Opslaan en doorgaan met bewerken"
"Saved %d record(s)","%d archief(ven) opgeslagen"
"Scope","Reikwijdte"
"Scope must not be changed, because the attribute is used in configurable products.","Reikwijdte moet niet veranderd worden, omdat de attribuut gebruikt wordt door configureerbare producten."
"Search","Zoeken"
"Search Engine Optimizations","Zoekmachine optimalisaties"
"Search Information","Zoekinformatie"
"Search Query","Zoek Query"
"Search Term with such search query already exists.","Een zoekwoord met deze zoekvraag bestaat al."
"Search Weight","Zoek Gewicht"
"Searchable","Zoekbaar"
"See price before order confirmation.","Zie prijs voor bevestiging van bestelling."
"Select Category...","Selecteer categorie..."
"Select Configurable Attributes ","Selecteer Configureerbare Attributen"
"Select Product...","Selecteer Product..."
"Select type of option","Selecteer optietype"
"Select type options required values rows.","Selecteer optietype verplichte rijwaarden."
"Selected Product Types","Geselecteerde Product Types"
"Selected configuration is not available.","Geselecteerde configuratie is niet beschikbaar."
"Send Count","Aantal Versturen"
"Set Ascending Direction","Stel een Oplopende Directie in"
"Set Descending Direction","Stel een Aflopende Directie in"
"Set Name","Stel Naam in"
"Set Root Category for Store","Stel Basiscategorie voor Winkel in"
"Set root category for this store in the <a href=""%s"">configuration</a>","Stel de basiscategorie voor deze winkel in op de <a href=""%s"">configuratie</a>"
"Set special price","Stel aanbieding in"
"Set/Get current store view","Stel in/Haal op huidige winkel zicht"
"Settings","Instellingen"
"Shop By","Shoppen op"
"Shopping Options","Winkel Opties"
"Show","Toon"
"Show Details","Laat Details zien"
"Show Tags","Labels tonen"
"Simple Product","Simpel Product"
"Site Map","Sitekaart"
"Sitemap","Sitemap"
"Skip import row, is not valid value ""%s"" for field ""%s""","Sla import rij over, geen geldige waarde ""% s"" voor veld ""% s"""
"Skip import row, required field ""%s"" for the new customer is not defined.","Sla import rij over, gevraagd veld ""%s"" voor nieuwe klant is onbekend."
"Skip import row, the value ""%s"" is invalid for field ""%s""","Sla import rij over, de waarde ""% s"" is ongeldig voor veld ""% s"""
"Skipping import row, required field ""%s"" for new products is not defined.","Het overslaan van import rij, verplicht veld ""%s"" voor nieuwe producten is niet gedefinieerd."
"Skipping import row, required field ""%s"" is not defined.","Sla import rij over, gevraagd veld ""%s"" is onbekend."
"Skipping import row, store ""%s"" field does not exist.","Sla import rij over, opslag ""% s"" veld bestaat niet."
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.","Sla import rij over, waarde ""%s"" is ongeldig voor ""%s"" veld."
"Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.","Sommige van de bewerkte produkten hebben onbekende SKU waarde. Vul in voor gebruik van deze producten."
"Some of the products below do not have all the required options. Please edit them and configure all the required options.","Sommige van onderstaande produkten hebben niet alle benodigde opties. Pas ze aan en configureer alle benodigde opties."
"Sort By","Sorteren op"
"Sort Order","Sorteer Bestelling"
"Source Model","Bron model"
"Special Expires On: %s","Aanbieding Verloopt Op: %s"
"Special Price:","Speciale prijs:"
"Special Price: %s","Speciale Aanbieding: %s"
"Starting at:","Begint bij:"
"Static","Statisch"
"Static block and products","Statisch blok en producten"
"Static block only","Alleen statisch blok"
"Status","Status"
"Stock Availability","Voorraad beschikbaarheid"
"Store","Winkel"
"Store View","Aanblik winkel"
"Stretch","Periode"
"Subscribe to RSS Feed","Aanmelden voor de RSS feed"
"Super product attributes configuration","Super product attributen configuratie"
"Synonym For","Synoniem voor"
"System Properties","Systeemeigenschappen"
"Tag Name","Tag Naam"
"Tax","Belasting"
"Template","Sjabloon"
"Text","Tekst"
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module","De Flat Catalogus module heeft een limiet van %2\$d filterbare en/of sorteerbare attributen. Op dit moment zijn er %1\$d. Verminder het aantal filterbare/sorteerbare attributen om deze module te kunnen gebruiken"
"The attribute model is not defined","Het attribuutmodel is niet gedefinieerd"
"The attribute set has been saved.","De attributenreeks is opgeslagen."
"The base directory to upload file is not specified.","De basisdirectory om bestand te uploaden is onbekend."
"The category has been deleted.","De categorie is verwijderd."
"The category has been saved.","De categorie is bewaard."
"The comparison list was cleared.","De vergelijkingslijst is gewist."
"The file '%s' for '%s' has an invalid extension","Het bestand '%' voor '%' heeft een ongeldige uitgang"
"The file '%s' you uploaded is larger than %s Megabytes allowed by server","Het bestand '%s' dat u heeft geüpload is groter dan de %s Megabyte toegestaan door de server"
"The file you uploaded is larger than %s Megabytes allowed by server","Het bestand dat u heeft geüpload is groter dan de %s Megabytes toegestaan door de server"
"The filters must be an array.","De filters moeten een array zijn."
"The image contents is not valid base64 data.","De inhoud van de afbeelding is geen geldige base64 data."
"The image is not specified.","De afbeelding is niet gespecificeerd."
"The model collection resource name is not defined.","De model collectie bronnaam is niet gedefinieerd."
"The product %s has been added to comparison list.","Het product %s is toegevoegd aan de vergelijkingslijst."
"The product %s has been removed from comparison list.","Het product %s is verwijderd van de vergelijkingslijst."
"The product attribute has been deleted.","Het productattribuut is verwijderd."
"The product attribute has been saved.","Het productattribuut is opgeslagen."
"The product has been created.","Het product is aangemaakt."
"The product has been deleted.","Het product is verwijderd."
"The product has been duplicated.","Het product is verdubbeld."
"The product has been saved.","Het product is opgeslagen."
"The product has required options","Het product heeft verplichte opties"
"The review has been deleted","De beoordeling is verwijderd"
"The review has been saved.","De beoordeling is opgeslagen."
"The review was removed by another user or does not exist.","De beoordeling werd verwijderd door een andere gebruiker of bestaat niet."
"The search was deleted.","De zoekactie werd verwijderd."
"The text is too long","De tekst is te lang"
"There are no %s available.","Er zijn geen %s beschikbaar."
"There are no customers for this alert","Er zijn geen klanten voor deze alert"
"There are no customers for this alert.","Er zijn geen klanten voor deze melding."
"There are no products matching the selection.","Er zijn geen producten die overeenkomen met de selectie."
"There was an error while request processing.","Er heeft zich een fout voorgedaan tijdens het verwerken van uw verzoek."
"This Attribute no longer exists","Dit Attribuut bestaat niet langer"
"This attribute cannot be deleted.","Dit attribuut kan niet verwijderd worden."
"This attribute cannot be edited.","Dit attribuut kan niet gewijzigd worden."
"This attribute cannot be updated.","Dit attribuut kan niet bijgewerkt worden."
"This attribute is used in configurable products.","Dit kenmerk wordt gebruikt in configureerbare producten."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Dit attribuut wordt gebruikt in configureerbare producten. U kunt het niet verwijderen uit de attributenreeks."
"This attribute no longer exists","Deze eigenschap bestaat niet meer"
"This attribute set no longer exists.","Deze attribuutset bestaat niet meer."
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Deze groep bevat attributen die gebruikt worden in configureerbare producten. Verplaats deze attributen naar een andere groep en probeer het opnieuw."
"This group contains system attributes. Please move system attributes to another group and try again.","Deze groep bevat systeemattributen. Verplaats de systeemattributen naar een andere groep en probeer het opnieuw."
"This is a required option","Dit is een verplichte optie"
"This product no longer exists.","Dit product bestaat niet meer."
"This search no longer exists.","Deze zoekactie bestaat niet langer."
"This setting will be applied when all prices in the specific price interval are equal.","Deze instelling wordt toegepast wanneer alle prijzen in de specifieke prijsinterval gelijk zijn."
"Tier Pricing","Niveau Prijsstelling"
"Tile","Tegel"
"Time Format","Tijdsformat"
"Title","Titel"
"To reindex the enabled product(s), the store or product must be specified","Om de ingeschakelde product(en) te herindexeren, moet de winkel of het product worden gespecificeerd"
"To see product price, add this item to your cart. You can always remove it later.","Om de product prijs te zien, voeg dit artikel toe aan uw winkelwagen. U kunt het later altijd nog verwijderen."
"Top/Left","Boven/Links"
"Top/Right","Top/Rechts"
"Total Qty Base Items","Totale Hoeveelheid Opgenomen Items"
"Total incl. Tax: %1$s","Totaal inclusief belasting: %1$s"
"Total of %d record(s) have been deleted.","Er zijn in totaal %d dossier(s) verwijderd"
"Total of %d record(s) have been updated.","Er zijn in totaal %d dossier(s) bijgewerkt"
"Total of %d record(s) were updated","Totaal van %d verslag(en) zijn bijgewerkt"
"Type","Type"
"URL Rewrite Management","URL Herschrijf Management"
"Unable to complete this request.","Niet in staat deze aanvraag te voltooien."
"Unable to find a search term to delete.","Niet in staat een zoekterm te vinden om te verwijderen."
"Unable to find an attribute to delete.","Niet instaat om een attribuut te vinden om te verwijderen."
"Unable to get the product ID.","Niet in staat om product ID op te halen."
"Unassigned Attributes","Niet Toegewezen Attributen"
"Unknown EAV indexer type ""%s"".","Onbekende EAV indexeertype ""%s""."
"Unknown attribute: %s.","Onbekend attribuut: %s."
"Unsupported product type ""%s"".","Niet ondersteund produkttype  ""%s""."
"Up-sells","Up-sells"
"Update","Update"
"Update Attributes","Update Attributen"
"Update Tier Price","Update Prijs"
"Update assigned product","Update toegewezen product"
"Update attribute","Update attribuut"
"Update attributes","Update eigenschappen"
"Update category","Update categorie"
"Update custom option of product","Update de custom optie van het product"
"Update product","Update product"
"Update product image","Update product afbeelding"
"Update product link","Update product link"
"Update product tier prices","Update product niveau prijzen"
"Update value of custom option","Update waarde van aangepaste optie"
"Upload new product image ","Upload nieuwe productafbeelding"
"Use Canonical Link Meta Tag For Categories","Use Canonisch Link Meta Tag Voor Categorieën"
"Use Canonical Link Meta Tag For Products","Gebruik een Kanonieke Link Meta Label Voor Product"
"Use Categories Path for Product URLs","Gebruik Categorieën Pad voor Product URL's"
"Use Config Settings","Gebruik Configuratiesettings"
"Use Default Value","Standaardwaarde gebruiken"
"Use Flat Catalog Category","Gebruik Flat Catalogus Categorie"
"Use Flat Catalog Product","Gebruik Flat Catalogus Product"
"Use In Layered Navigation","Gebruik in Layered Navigatie"
"Use In Search Results Layered Navigation","Gebruik in Zoek Resultaten een Gelaagde Navigatie"
"Use JavaScript Calendar","Gebruik Javascript Kalender"
"Use Static URLs for Media Content in WYSIWYG for Catalog","Gebruik Vaste URL's voor Media Inhoud in WYSIWYG voor de Catalogus"
"Use To Create Configurable Product","Gebruik Om Configureerbaar Product Te Creëren"
"Use Tree Like Category Sitemap","Gebruik Boomnetwerk Als Categorie Sitemap"
"Use config","Gebruik config"
"Use default","Gebruik standaard"
"Use for Promo Rule Conditions","Gebruik voor Promotie Regels Voorwaarden"
"Use four-digit year format.","Gebruik 4-cijferig jaar formaat."
"Use in Advanced Search","Gebruik in Geavanceerd Zoeken"
"Use in Layered Navigation","Gebruik in Layered Navigation"
"Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Gebruik in Layered Navigatie<br/>(Kan alleen gebruikt worden met catalogus inputtype  'Dropdown')"
"Use in Quick Search","Gebruik in Quick Search"
"Used for Sorting in Product Listing","Gebruikt voor Sortering in Product Listing"
"Used in Product Listing","Gebruik in Product Listing"
"Value for ""%s"" is invalid.","Waarde voor  ""%s"" is ongeldig."
"Value for ""%s"" is invalid: %s","Waarde voor  ""%s"" is ongeldig: %s"
"Varchar","Varlet"
"View as","Bekijk als"
"Virtual Product","Virtueel product"
"Visibility","Zichtbaarheid"
"Visible","Zichtbaar"
"Visible on Catalog Pages on Front-end","Zichtbaar op Catalogus Pagina's op Front-end"
"Visible on Product View Page on Front-end","Zichtbaar op de productaanblikpagina op het front-end"
"WYSIWYG Editor","WYSIWYG Editor"
"Watermark","Watermerk"
"Watermark Default Size","Watermerk Standaard Grootte"
"Watermark Opacity, Percent","Watermerk doorzichtigheid, percentage"
"Watermark Position","Watermerk positie"
"Website","Website"
"Website Item Must be checked","Website artikel moet gecontroleerd worden"
"Website Store Must be checked","Webwinkel Moet gecheckt worden"
"Websites","Websites"
"What's this?","Wat is dit?"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Of u de ""All"" optie toont in de ""Show X Per Page"" dropdown."
"Will make search for the query above return results for this search.","Maakt zoektocht naar de query hierboven, geef resultaten voor deze zoekopdracht."
"Wrong BuyRequest instance in options group.","Verkeerde KoopVerzoek instantie in opties groep."
"Wrong configuration item instance in options group.","Verkeerde configuratie artikel in optiegroep."
"Wrong configuration item option instance in options group.","Verkeerde configuratie artikel optie in optiegroep."
"Wrong option instance type in options group.","Verkeerde optie instantie type in opties groep."
"Wrong option type to get group instance.","Verkeerde optie type om groep voorbeeld te krijgen."
"Wrong product instance type in options group.","Verkeerd productvoorbeeld type in optiegroep."
"Wrong product type filter specified","Verkeerd product type filter opgegeven"
"Wrong product type to extract configurable options.","Verkeerd producttype om configureerbare opties van af te nemen."
"Year Range","Jaar Range"
"Yes","Ja"
"You cannot remove system attribute from this set.","U kunt geen systeemattributen uit deze set verwijderen."
"You have no items to compare.","U heeft geen artikelen om te vergelijken."
"You may also be interested in the following product(s)","U heeft wellicht ook interesse in de volgende product(en):"
"Zoom In","Inzoomen"
"Zoom Out","Zoom Uit"
"and","en"
"and above","en hoger"
"categories","categorieën"
"each","ieder"
"ex. http://domain.com","bijv. http://domein.nl"
"leave blank if its not an image","Laat leeg als het geen afbeelding is"
"per page","per pagina"
"products","producten"
"px.","px."
"save","bewaar"
"select all","alle selecteren"
"unselect all","Onselecteer alles"
"x","x"
