Remove,Eliminar
"Logo for HTML Print View","Logo for HTML Print View"
"
                        Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)
                    ","
                        Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)
                    "
"Minimum Amount","Minimum Amount"
"Subtotal after discount","Subtotal after discount"
"Description Message","Description Message"
"This message will be shown in the shopping cart when the subtotal (after discount) is lower than the minimum allowed amount.","This message will be shown in the shopping cart when the subtotal (after discount) is lower than the minimum allowed amount."
"Error to Show in Shopping Cart","Error to Show in Shopping Cart"
"Validate Each Address Separately in Multi-address Checkout","Validate Each Address Separately in Multi-address Checkout"
"Multi-address Description Message","Multi-address Description Message"
"We'll use the default description above if you leave this empty.","We'll use the default description above if you leave this empty."
"Multi-address Error to Show in Shopping Cart","Multi-address Error to Show in Shopping Cart"
"We'll use the default error above if you leave this empty.","We'll use the default error above if you leave this empty."
"Use Aggregated Data (beta)","Use Aggregated Data (beta)"
"Sales Emails","Sales Emails"
"New Order Confirmation Email Sender","New Order Confirmation Email Sender"
"New Order Confirmation Template","New Order Confirmation Template"
"New Order Confirmation Template for Guest","New Order Confirmation Template for Guest"
"Send Order Email Copy To","Send Order Email Copy To"
"Send Order Email Copy Method","Send Order Email Copy Method"
"Order Comment Email Sender","Order Comment Email Sender"
"Order Comment Email Template","Order Comment Email Template"
"Order Comment Email Template for Guest","Order Comment Email Template for Guest"
"Send Order Comment Email Copy To","Send Order Comment Email Copy To"
"Send Order Comments Email Copy Method","Send Order Comments Email Copy Method"
"Invoice Email Sender","Invoice Email Sender"
"Invoice Email Template","Invoice Email Template"
"Invoice Email Template for Guest","Invoice Email Template for Guest"
"Send Invoice Email Copy To","Send Invoice Email Copy To"
"Send Invoice Email Copy Method","Send Invoice Email Copy Method"
"Invoice Comment Email Sender","Invoice Comment Email Sender"
"Invoice Comment Email Template","Invoice Comment Email Template"
"Invoice Comment Email Template for Guest","Invoice Comment Email Template for Guest"
"Send Invoice Comment Email Copy To","Send Invoice Comment Email Copy To"
"Send Invoice Comments Email Copy Method","Send Invoice Comments Email Copy Method"
Shipment,"Envío #"
"Shipment Email Sender","Shipment Email Sender"
"Shipment Email Template","Shipment Email Template"
"Shipment Email Template for Guest","Shipment Email Template for Guest"
"Send Shipment Email Copy To","Send Shipment Email Copy To"
"Send Shipment Email Copy Method","Send Shipment Email Copy Method"
"Shipment Comment Email Sender","Shipment Comment Email Sender"
"Shipment Comment Email Template","Shipment Comment Email Template"
"Shipment Comment Email Template for Guest","Shipment Comment Email Template for Guest"
"Send Shipment Comment Email Copy To","Send Shipment Comment Email Copy To"
"Send Shipment Comments Email Copy Method","Send Shipment Comments Email Copy Method"
"Credit Memo Email Sender","Credit Memo Email Sender"
"Credit Memo Email Template","Credit Memo Email Template"
"Credit Memo Email Template for Guest","Credit Memo Email Template for Guest"
"Send Credit Memo Email Copy To","Send Credit Memo Email Copy To"
"Send Credit Memo Email Copy Method","Send Credit Memo Email Copy Method"
"Credit Memo Comment Email Sender","Credit Memo Comment Email Sender"
"Credit Memo Comment Email Template","Credit Memo Comment Email Template"
"Credit Memo Comment Email Template for Guest","Credit Memo Comment Email Template for Guest"
"Send Credit Memo Comment Email Copy To","Send Credit Memo Comment Email Copy To"
"Send Credit Memo Comments Email Copy Method","Send Credit Memo Comments Email Copy Method"
"PDF Print-outs","PDF Print-outs"
"Display Order ID in Header","Display Order ID in Header"
"Orders and Returns Search Form","Impreso de pedidos y devoluciones"
"PDF Credit Memos","Notas de cŕedito en PDF"
"PDF Invoices","Facturas en PDF"
"Invoice Date","Fecha de factura"
"ZIP/Post Code","Código postal"
"Signed-up Point","Signed-up Point"
order-header,order-header
"New Order RSS","Nuevo Pedido RSS"
"Print Invoices","Imprimir Facturas"
"Print Packing Slips","Imprimir Albaranes de Embalaje"
"Print Credit Memos","Imprimir Todas las Facturas de Abono"
"Print All","Imprimir todo"
"Print Shipping Labels","Imprimir etiquetas de envío"
"Ship Date","Fecha de Envío"
"Total Quantity","Total cantidad"
"Default Status","Estado por defecto"
"State Code and Title","State Code and Title"
"PDF Packing Slips","Albaranes en PDF"
"Status can't be unassigned, because it is used by existing order(s).","Status can't be unassigned, because it is used by existing order(s)."
