Remove,删除
"Credit Memo Comment Email Template for Guest","Credit Memo Comment Email Template for Guest"
"Send Credit Memo Comment Email Copy To","Send Credit Memo Comment Email Copy To"
"Send Credit Memo Comments Email Copy Method","Send Credit Memo Comments Email Copy Method"
"PDF Print-outs","PDF Print-outs"
"Display Order ID in Header","Display Order ID in Header"
"Orders and Returns Search Form",订单与退货搜索表单
"PDF Credit Memos",PDF版信用记录
"PDF Invoices",PDF版发票
"Invoice Date",发票日期
"ZIP/Post Code",邮政编码
"Signed-up Point","Signed-up Point"
order-header,order-header
"New Order RSS",新订单RSS
"Print Invoices",打印发票
"Print Packing Slips",打印包裹清单
"Print Credit Memos",打印信用记录
"Print All",打印全部
"Print Shipping Labels",打印运单标签
"Ship Date",发货日期
"Total Quantity",总数量
"Default Status",默认状态
"State Code and Title","State Code and Title"
"PDF Packing Slips",PDF版包裹清单
"Status can't be unassigned, because it is used by existing order(s).","Status can't be unassigned, because it is used by existing order(s)."
