All,Tous
"New products","New products"
"Display Page Control","Display Page Control"
"Number of Products per Page","Number of Products per Page"
"Number of Products to Display","Nombre de produits à afficher"
"New Products Grid Template","Modèle de grille nouveaux produits"
"New Products List Template","Modèle de liste nouveaux produits"
"New Products Images and Names Template","New Products Images and Names Template"
"New Products Names Only Template","New Products Names Only Template"
"New Products Images Only Template","New Products Images Only Template"
"Cache Lifetime (Seconds)","Durée de vie du Cache (Secondes)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache."
"Catalog Product Link","Lien du Produit Catalogue"
"Link to a Specified Product","Lien vers un produit déterminé"
"If empty, the Product Name will be used","If empty, the Product Name will be used"
"Product Link Block Template","Produit Lien Modèle Bloc"
"Product Link Inline Template","Produit Lien Modèle Conforme"
"Catalog Category Link","Lien de la Catégorie Catalogue"
"Link to a Specified Category","Lien vers une catégorie précise"
"If empty, the Category Name will be used","Si vide, la catégorie Nom sera utilisé."
"Category Link Block Template","Bloc Modèle du Lien de la Catégorie"
"Category Link Inline Template","Modèle Préféré du Lien de la Catégorie"
Set,"Définir le nom"
none,none
Overview,Overview
"Qty for Item's Status to Become Out of Stock","Qty for Item's Status to Become Out of Stock"
