All,Alle
"Indexed category/products association","Indizierte Kategorie/Produkassoziierung"
"Product Categories",Produktkategorien
"Indexed product/categories association","Indexed product/categories association"
"Product Price","Product Price"
"Index product prices","Index Produktpreise"
"Catalog New Products List","Neue Produktliste des Katalogs"
"List of Products that are set as New","Liste von Produkten, die als neu klassifiziert sind"
"Display Type","Display Type"
"All products - recently added products, New products - products marked as new","All products - recently added products, New products - products marked as new"
"All products","All products"
"New products","New products"
"Display Page Control","Display Page Control"
"Number of Products per Page","Number of Products per Page"
"Number of Products to Display","Anzahl angezeigter Produkte"
"New Products Grid Template","Neue Produkt Rastervorlage"
"New Products List Template","Neue Produkt Listenvorlage"
"New Products Images and Names Template","New Products Images and Names Template"
"New Products Names Only Template","New Products Names Only Template"
"New Products Images Only Template","New Products Images Only Template"
"Cache Lifetime (Seconds)","Cache-Lebensdauer (Sekunden)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache."
"Catalog Product Link","Link zu den Produkten im Katalog"
"Link to a Specified Product","Link zum angegebenen Produkt"
"If empty, the Product Name will be used","If empty, the Product Name will be used"
"Product Link Block Template","Produkt-Link Block Vorlage"
"Product Link Inline Template","Produkt-Link Inline Vorlage"
"Catalog Category Link",Katalogkategorie-Link
"Link to a Specified Category","Link zu einer bestimmten Kategorie"
"If empty, the Category Name will be used","Falls leer, wird der Kategoriename verwendet"
"Category Link Block Template","Kategorielink, Blockschablone"
"Category Link Inline Template","Kategorielink, eingebettet in Schablone"
Set,"Name einstellen"
none,none
Overview,Overview
"Qty for Item's Status to Become Out of Stock","Qty for Item's Status to Become Out of Stock"
