"# of Use","件使用中"
"%1$s incl tax.","%1$s 税込"
"%s - %s","%s - %s未満"
"%s Item(s)","%s件の商品"
"%s and above","%s とそれ以上"
"Scope must not be changed, because the attribute is used in configurable products.","コンフィグ商品で属性が使用されているため、スコープは変更できません"
"Search","検索"
"Search Engine Optimizations","検索エンジン最適化"
"Search Information","検索情報"
"Search Query","検索条件"
"Search Term with such search query already exists.","その検索キーワードは既に存在しています。"
"Search Weight","Search Weight"
"Searchable","検索可能"
"See price before order confirmation.","ご注文前に価格をご確認ください。"
"Select Category...","カテゴリを選択..."
"Select Configurable Attributes ","設定可能な属性を選択"
"Select Product...","商品を選択..."
"Select type of option","オプションタイプの選択"
"Select type options required values rows.","価格の列を要求されたタイプオプションを選択"
"Selected Product Types","選択された商品種別"
"Selected configuration is not available.","選択した設定は利用できません。"
"Send Count","カウント送信"
"Set Ascending Direction","昇順"
"Set Descending Direction","降順"
"Set Name","セット名"
"Set Root Category for Store","店舗のルートカテゴリをセットしてください。"
"Set root category for this store in the <a href=""%s"">configuration</a>","このストアのルートカテゴリを<a href=""%s"">設定</a>"
"Set special price","特別価格の設定"
"Set/Get current store view","現在の店舗を設定/取得"
"Settings","設定"
"Shop By","閲覧中"
"Shopping Options","ショッピングオプション"
"Show","表示"
"Show Details","詳細を見る"
"Show Tags","タグを見る"
"Simple Product","シンプル商品"
"Site Map","サイトマップ"
"Sitemap","サイトマップ"
"Skip import row, is not valid value ""%s"" for field ""%s""","行をスキップしました。 ""%s"" はフィールド ""%s"" に正しい値ではありません。"
"Skip import row, required field ""%s"" for the new customer is not defined.","行をスキップしました。 必須フィールド ""%s"" が新しい顧客データで定義されていません。"
"Skip import row, the value ""%s"" is invalid for field ""%s""","行をスキップしました。 値 ""%s"" はフィールド ""%s"" に正しい値ではありません。"
"Skipping import row, required field ""%s"" for new products is not defined.","新規商品の必須項目 ""%s"" が定義されていないため該当行の取り込みをスキップします。"
"Skipping import row, required field ""%s"" is not defined.","必須フィールド""%s""が定義されていないため該当行の取り込みをスキップします。"
"Skipping import row, store ""%s"" field does not exist.","行をスキップしています。 ストア ""%s"" は存在していません。"
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.","値""%s""はフィールド ""%s"" に対して不正なので行をスキップします。"
"Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.","幾つかの商品にSKUが指定されていません。処理を続ける前にSKUを指定してください。"
"Some of the products below do not have all the required options. Please edit them and configure all the required options.","幾つかの商品は必須オプションが未指定です。必須項目を指定してください。"
"Sort By","並び順"
"Sort Order","並び順"
"Source Model","ソースモデル"
"Special Expires On: %s","特別価格終了日: %s"
"Special Price:","特別価格:"
"Special Price: %s","特別価格: %s"
"Starting at:","最低価格:"
"Static","静的"
"Static block and products","静的ブロックと商品"
"Static block only","静的ブロックのみ"
"Status","状態"
"Stock Availability","在庫の有無"
"Store","店舗"
"Store View","ストアビュー"
"Stretch","拡大"
"Subscribe to RSS Feed","RSSフィードを購読する"
"Super product attributes configuration","親商品の属性を設定"
"Synonym For","別名"
"System Properties","システムプロパティ"
"Tag Name","タグ名"
"Tax","税"
"Template","テンプレート"
"Text","テキスト"
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module","フラットカタログモジュールはフィルタ可能またはソート可能属性の制限数 %2\$d があります。 現在、 %1\$d 個使用しています。 フィルタ・ソート可能な属性の数を減らしてください。"
"The attribute code ¥'%s¥' is reserved by system. Please try another attribute code","属性コード ¥'%s¥' はシステムで使用されています。 他のコードを指定してください。"
"The attribute set has been saved.","属性を保存しました。"
"The base directory to upload file is not specified.","ファイルをアップロードするディレクトリが未指定です。"
"The category has been deleted.","カテゴリを削除しました。"
"The category has been saved.","カテゴリを保存しました。"
"The comparison list was cleared.","比較リストをクリアしました。"
"The file '%s' for '%s' has an invalid extension","ファイル '%s' の '%s' は不正な拡張子です"
"The file '%s' you uploaded is larger than %s Megabytes allowed by server","アップロードされたファイル '%s' は %s メガバイトの制限を超えています。"
"The file you uploaded is larger than %s Megabytes allowed by server","アップロードされたファイルは %s メガバイトの制限を超えています。"
"The filters must be an array.","フィルタは配列でなければなりません。"
"The image contents is not valid base64 data.","画像コンテンツが正しいbase64データではありません。"
"The image is not specified.","画像が指定されていません。"
"The model collection resource name is not defined.","モデルコレクション名が未定義です。"
"The product %s has been added to comparison list.","商品%sを比較リストに保存しました。"
"The product %s has been removed from comparison list.","%sを比較リストから削除しました。"
"The product attribute has been deleted.","商品属性を削除しました。"
"The product attribute has been saved.","商品属性を保存しました。"
"The product has been created.","商品を作成しました。"
"The product has been deleted.","商品を削除しました。"
"The product has been duplicated.","商品が重複しています。"
"The product has been saved.","商品を保存しました。"
"The product has required options","この商品には必須オプションがあります。"
"The review has been deleted","レビューを削除しました。"
"The review has been saved.","レビューを保存しました。"
"The review was removed by another user or does not exist.","レビューがほかのユーザーによって削除されたか、または存在していません。"
"The search was deleted.","検索キーワードを削除しました。"
"The text is too long","テキストが長すぎます"
"There are no %s available.","%sは利用できません。"
"There are no customers for this alert","このアラートに顧客は登録されていません。"
"There are no customers for this alert.","このアラートに顧客は登録されていません。"
"There are no products matching the selection.","条件にマッチする商品はありません。"
"There was an error while request processing.","リクエストの処理中にエラーが発生しました。"
"This Attribute no longer exists","この属性は存在しません"
"This attribute cannot be deleted.","この属性は削除されません。"
"This attribute cannot be edited.","この属性は変更できません。"
"This attribute cannot be updated.","この属性を更新できません。"
"This attribute is used in configurable products.","この属性はコンフィグ商品で使用されています。"
"This attribute is used in configurable products. You cannot remove it from the attribute set.","この属性はコンフィグ商品で使用されているため、属性セットから削除できません。"
"This attribute no longer exists","この属性は存在していません。"
"This attribute set no longer exists.","この属性セットが存在していません。"
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","このグループは設定できる商品の中で使われた属性を含んでいます。これらの属性を他のグループに移し、もう一度試してください。"
"This group contains system attributes. Please move system attributes to another group and try again.","グループはシステム属性を含んでいます。システム属性を他のグループに移した後にやり直してください。"
"This is a required option","必須項目です"
"This product no longer exists.","この商品は存在していません。"
"This search no longer exists.","この検索キーワードは存在していません。"
"This setting will be applied when all prices in the specific price interval are equal.","この設定はすべての商品が特定の価格帯にある場合に適用されます。"
"Tier Pricing","価格層"
"Tile","タイル"
"Time Format","時間のフォーマット"
"Title","タイトル"
"To reindex the enabled product(s), the store or product must be specified","有効にした商品に再インデックスを行うには、ストアか商品を指定する必要があります。"
"To see product price, add this item to your cart. You can always remove it later.","商品の価格を確認するためにカートに入れてください。カートから削除することはいつでも可能です。"
"Top/Left","上/左"
"Top/Right","上/右"
"Total Qty Base Items","合計数量基準商品"
"Total Quantity Content Items","Total Quantity Content Items"
"Total incl. Tax: %1$s","税込合計: %1$s"
"Total of %d record(s) have been deleted.","合計 %d 件を削除しました。"
"Total of %d record(s) have been updated.","合計 %d 件を更新しました。"
"Total of %d record(s) were updated","合計 %d 件を更新しました。"
"Type","タイプ"
"URL Rewrite Management","URL書換管理"
"Unable to complete this request.","リクエストを完了できません。"
"Unable to find a search term to delete.","削除する検索キーワードが見つかりません。"
"Unable to find an attribute to delete.","削除する属性が見つかりません。"
"Unable to get the product ID.","商品IDを取得できません。"
"Unassigned Attributes","未割り当ての属性"
"Unknown EAV indexer type ""%s"".","不明なEAVインデックスタイプ""%s""です。"
"Unknown attribute: %s.","不明な属性: %s."
"Unsupported product type ""%s"".","未サポートの商品種別""%s""です。"
"Up-sells","アップセル商品"
"Update","更新"
"Update Attributes","属性を更新"
"Update Tier Price","列価格をアップでート"
"Update assigned product","割り当てた商品を更新"
"Update attribute","属性を更新"
"Update attributes","属性を更新"
"Update category","カテゴリを更新"
"Update custom option of product","カスタムオプションを更新"
"Update product","商品を更新"
"Update product image","商品画像を更新"
"Update product link","商品関連を更新"
"Update product tier prices","商品価格階層を更新"
"Update value of custom option","カスタムオプションの値を更新"
"Upload new product image ","新しい商品画像をアップロード"
"Use Canonical Link Meta Tag For Categories","カテゴリに正確なメタタグを使用する"
"Use Canonical Link Meta Tag For Products","商品に正確なメタタグリンクを使用する"
"Use Categories Path for Product URLs","商品URLにカテゴリパスを使用する"
"Use Config Settings","設定値を使用する"
"Use Default Value","標準の値を使用"
"Use Flat Catalog Category","フラットカタログカテゴリを使用する"
"Use Flat Catalog Product","フラットカタログ商品を使用する"
"Use In Layered Navigation","階層ナビゲーションで使用する"
"Use In Search Results Layered Navigation","検索結果ナビゲーションで使用"
"Use JavaScript Calendar","JavaScriptカレンダーを使用する"
"Use Static URLs for Media Content in WYSIWYG for Catalog","WYSIWYGエディタカタログのメディアコンテンツで静的URLを使用する"
"Use To Create Configurable Product","設定可能商品を使って作成する"
"Use Tree Like Category Sitemap","ツリー上のカテゴリサイトマップ"
"Use config","設定を使用する"
"Use default","標準の値を使用"
"Use for Promo Rule Conditions","プロモーションルールの条件で使用する"
"Use four-digit year format.","4ケタ表記を使用する。"
"Use in Advanced Search","詳細検索で使用する"
"Use in Layered Navigation","階層ナビゲーションで使用する"
"Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","階層ナビゲーションで使用する<br/>(入力形式が 'ドロップダウン' でのみ使用できます)"
"Use in Quick Search","簡易検索で使用する"
"Used for Sorting in Product Listing","商品リスト表示の並べ替え順で使用する"
"Used in Product Listing","商品リスト表示で使用する"
"Value for ""%s"" is invalid.","""%s""の値は不正です。"
"Value for ""%s"" is invalid: %s","""%s""の値が不正です: %s"
"Varchar","varchar"
"View as","表示方法"
"Virtual Product","仮想商品"
"Visibility","表示"
"Visible","表示"
"Visible on Catalog Pages on Front-end","カタログページをフロントエンドに表示する"
"Visible on Product View Page on Front-end","フロントエンドの商品画面で表示する"
"WYSIWYG Editor","WYSIWYGエディタ"
"Watermark","透かし"
"Watermark Default Size","透かしディフォルトサイズ"
"Watermark Opacity, Percent","ウオーターマーク不透明度"
"Watermark Position","透かし位置"
"We Also Recommend","おすすめです"
"Website","ウェブサイト"
"Website Item Must be checked","Website Item Must be checked"
"Website Store Must be checked","Website Store Must be checked"
"Websites","ウェブサイト"
"What's this?","これは何ですか？"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","表示件数指定のドロップダウンに「全件表示」を表示するかどうか。"
"Will make search for the query above return results for this search.","上記のキーワードがこの検索結果を表示するようになります。"
"Wrong BuyRequest instance in options group.","不正な購入リクエストインスタンスがオプショングループにあります。"
"Wrong configuration item instance in options group.","不正なインスタンスがオプショングループにあります。"
"Wrong configuration item option instance in options group.","不正なインスタンスがオプショングループにあります。"
"Wrong option instance type in options group.","不正なオプションリクエストインスタンスがオプショングループにあります。"
"Wrong option type to get group instance.","グループインスタンスを取得するための不正なオプションタイプです。"
"Wrong product instance type in options group.","オプショングループの不正な商品インスタンスです。"
"Wrong product type filter specified","不正な商品種別フィルターが指定されました"
"Wrong product type to extract configurable options.","不正な商品種別が設定オプションにあります。"
"Year Range","年範囲"
"Yes","Yes"
"You cannot remove system attribute from this set.","このセットからシステム属性を削除できません。"
"You have no items to compare.","比較する商品はありません"
"You may also be interested in the following product(s)","以下の商品にご興味はありませんか？"
"Zoom In","ズームイン"
"Zoom Out","ズームアウト"
"and","で"
"and above","and above"
"categories","カテゴリ"
"each","個別に"
"ex. http://domain.com","例: http://domain.com"
"leave blank if its not an image","画像にしない場合は空白にしてください"
"per page","件表示"
"products","商品"
"px.","ピクセル"
"save","お値引き"
"select all","全て選択"
"unselect all","全て未選択にする"
"x","x"
