All,Todos
"New Products Grid Template","Modelo de Nova Rede de Produtos"
"New Products List Template","Modelo para Lista de Novos Produtos"
"New Products Images and Names Template","New Products Images and Names Template"
"New Products Names Only Template","New Products Names Only Template"
"New Products Images Only Template","New Products Images Only Template"
"Cache Lifetime (Seconds)","Tempo de Vida de Cache (Segundos)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache."
"Catalog Product Link","Link do Produto de Catálogo"
"Link to a Specified Product","Link para um Produto Especificado"
"If empty, the Product Name will be used","If empty, the Product Name will be used"
"Product Link Block Template","Modelo para Link de Produto: Bloco Autônomo"
"Product Link Inline Template","Modelo para Link de Produto: Fluxo sem Quebra"
"Catalog Category Link","Link da Categoria de Catálogo"
"Link to a Specified Category","Link para uma Categoria Especificada"
"If empty, the Category Name will be used","Se deixado em branco, será usado o Nome da Categoria."
"Category Link Block Template","Modelo de Categoria de Blocos de Ligação"
"Category Link Inline Template","Modelo de Categoria de Ligação Em Linha"
Set,"Ajustar Nome"
none,none
Overview,Overview
"Qty for Item's Status to Become Out of Stock","Qty for Item's Status to Become Out of Stock"
